ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径
43	黄金甲	2	2	纯金打造的全身战甲，熠熠生辉，且防御力不俗。但沉重笨拙的缺点也十分明显。	63	4.7	equipposter/poster_clothes_huangjinjia.png	equipposter/poster_clothes_huangjinjia.png	equiptex/tex_clothes_huangjinjia.png
44	恶魔斗篷	2	2	恶魔穿着的斗篷，每时每刻都透露着一股诡异邪魅的气息。	62	4.5	equipposter/poster_clothes_emodoupeng.png	equipposter/poster_clothes_emodoupeng.png	equiptex/tex_clothes_emodoupeng.png
45	公爵帽	2	2	公爵们经常佩戴的帽子，黑色宽严，插有天鹅羽毛，柔软舒适。	60	4.3	equipposter/poster_clothes_gongjuemao.png	equipposter/poster_clothes_gongjuemao.png	equiptex/tex_clothes_gongjuemao.png
46	正义大氅	2	2	海军将领穿着的大氅，在背后写着正义两个大字。	59	4.1	equipposter/poster_clothes_zhengyidachang.png	equipposter/poster_clothes_zhengyidachang.png	equiptex/tex_clothes_zhengyidachang.png
47	贵族披风	2	2	贵族常用的披风，柔软轻盈，顺滑无比。	55	4.1	equipposter/poster_clothes_guizupifeng.png	equipposter/poster_clothes_guizupifeng.png	equiptex/tex_clothes_guizupifeng.png
48	天空骑士	2	2	空岛骑士所戴的头盔，两侧有羽翼状的装饰，十分容易辨认。	54	4	equipposter/poster_clothes_tiankongqishi.png	equipposter/poster_clothes_tiankongqishi.png	equiptex/tex_clothes_tiankongqishi.png
49	吸血鬼斗篷	2	2	传闻是吸血鬼们常穿的斗篷，尖领圆围，质地似皮，穿上后仿若蝙蝠。	50	3.9	equipposter/poster_clothes_xixueguidoupeng.png	equipposter/poster_clothes_xixueguidoupeng.png	equiptex/tex_clothes_xixueguidoupeng.png
50	船长帽	2	2	海贼船长们才有资格戴的帽子，往往在中间有骷髅刺绣。	46	3.6	equipposter/poster_clothes_chuangzhangmao.png	equipposter/poster_clothes_chuangzhangmao.png	equiptex/tex_clothes_chuangzhangmao.png
51	冒险者长袍	2	3	四处冒险的旅人们常穿的长袍，轻便紧身，易于行动。	30	2.3	equipposter/poster_clothes_maoxianzhechangpao.png	equipposter/poster_clothes_maoxianzhechangpao.png	equiptex/tex_clothes_maoxianzhechangpao.png
52	护目镜皮帽	2	3	带有护目镜的皮帽，将护目镜放下后可防风防尘。	29	2.2	equipposter/poster_clothes_humujingpimao.png	equipposter/poster_clothes_humujingpimao.png	equiptex/tex_clothes_humujingpimao.png
53	流浪者斗篷	2	3	流浪者们穿着的斗篷，虽然简陋破旧，却更为坚韧耐磨。	26	2.2	equipposter/poster_clothes_liulangzhedoupeng.png	equipposter/poster_clothes_liulangzhedoupeng.png	equiptex/tex_clothes_liulangzhedoupeng.png
54	海军制服	2	3	海军常见的制服，朴素统一，简约实用。	26	2.1	equipposter/poster_clothes_haijunzhifu.png	equipposter/poster_clothes_haijunzhifu.png	equiptex/tex_clothes_haijunzhifu.png
55	圆顶礼帽	2	3	圆顶的黑色礼帽，利用硬式材质来保护头部，是绅士的象征。	25	2.1	equipposter/poster_clothes_yuandinglimao.png	equipposter/poster_clothes_yuandinglimao.png	equiptex/tex_clothes_yuandinglimao.png
56	海贼头巾	2	3	普通海贼们常围在头上的头巾，可防止头发受潮。	25	2	equipposter/poster_clothes_haizeitoujin.png	equipposter/poster_clothes_haizeitoujin.png	equiptex/tex_clothes_haizeitoujin.png
57	铁壁	2	3	铁质的大圆盾，可较大范围的防护身体。	24	2	equipposter/poster_clothes_tiebi.png	equipposter/poster_clothes_tiebi.png	equiptex/tex_clothes_tiebi.png
58	贝雷帽	2	3	白色的贝雷帽，空岛卫兵的象征性装扮。	24	1.9	equipposter/poster_clothes_beileimao.png	equipposter/poster_clothes_beileimao.png	equiptex/tex_clothes_beileimao.png
59	海贼帽	2	3	普通海贼戴的帽子，没有什么特色。	23	1.8	equipposter/poster_clothes_haizeimao.png	equipposter/poster_clothes_haizeimao.png	equiptex/tex_clothes_haizeimao.png
60	海贼披风	2	4	普通海贼系着的披风，没有什么特色。	15	1.2	equipposter/poster_clothes_haizeipifeng.png	equipposter/poster_clothes_haizeipifeng.png	equiptex/tex_clothes_haizeipifeng.png
61	三角泳裤	2	4	三角形的泳裤，穿上之后一定会很性感，走在大街上会引起骚动。	14	1.1	equipposter/poster_clothes_sanjiaoyongku.png	equipposter/poster_clothes_sanjiaoyongku.png	equiptex/tex_clothes_sanjiaoyongku.png
62	水手头巾	2	4	普通水手戴的头巾，能一定程度上防止头发受潮。	14	1.1	equipposter/poster_clothes_shuishoutoujin.png	equipposter/poster_clothes_shuishoutoujin.png	equiptex/tex_clothes_shuishoutoujin.png
63	厨师帽	2	4	厨师们带着的帽子，据说帽子越高，则代表这名厨师的技艺越高超。	13	1	equipposter/poster_clothes_chushimao.png	equipposter/poster_clothes_chushimao.png	equiptex/tex_clothes_chushimao.png
64	草帽	2	4	普普通通的草帽，甚至还因为长期佩戴，使得边有有了些许破损，却拥有着非凡的意义与约定。	13	1	equipposter/poster_clothes_caomao.png	equipposter/poster_clothes_caomao.png	equiptex/tex_clothes_caomao.png
65	旅者长衫	2	4	旅行者穿着的长衫，价格便宜，坏了就换件新的吧。	12	0.9	equipposter/poster_clothes_lvzhechangshan.png	equipposter/poster_clothes_lvzhechangshan.png	equiptex/tex_clothes_lvzhechangshan.png
66	命运流火	3	1	不知名的材料制作而成，仿佛一团火焰在水晶中流动，充满着命运的神秘感。	340	26.9	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png
67	死亡诱惑	3	1	骷髅状的挂饰，直视它空洞的双瞳，就会沉入死亡的阴影之中，只有意志坚强者才能佩戴。	325	23.8	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png
68	十字挂饰	3	1	十字型的华丽挂饰，上面镶嵌着宝石，熠熠生辉，充斥着神圣而高贵的气息。	310	23.4	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png
69	深海之眼	3	1	银色的戒指上，镶嵌着深蓝色的巨大宝石，仿佛海神之眼，幽蓝而深邃。	300	23.3	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png
70	诱惑之瞳	3	1	金色的戒指上镶嵌着巨大的紫色宝石，神秘妖冶，充满诱惑。	290	22.8	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png
71	贵族项链	3	2	贵族们佩戴的项链，做工精细，华贵无比。	196	15.3	equipposter/poster_jewelry_guizuxianglian.png	equipposter/poster_jewelry_guizuxianglian.png	equiptex/tex_jewelry_guizuxianglian.png
72	飞翔之翼	3	2	戒指的环扣处设计了羽翼一般的造型，仿若展翅欲飞，故而得名。	196	15.3	equipposter/poster_jewelry_feixiangzhiyi.png	equipposter/poster_jewelry_feixiangzhiyi.png	equiptex/tex_jewelry_feixiangzhiyi.png
73	骷髅项链	3	2	骷髅造型的项链，海贼们最喜欢佩戴的首饰之一。	200	14.9	equipposter/poster_jewelry_kulouxianglian.png	equipposter/poster_jewelry_kulouxianglian.png	equiptex/tex_jewelry_kulouxianglian.png
74	勾玉转轮	3	2	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。	198	13.8	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png
75	金蛇耳环	3	2	纯金打造的蛇形耳环，曲线优美，妖娆动人。	200	13.6	equipposter/poster_jewelry_jinsheerhuan.png	equipposter/poster_jewelry_jinsheerhuan.png	equiptex/tex_jewelry_jinsheerhuan.png
76	兽骨挂饰	3	2	凶兽骨头所制的挂饰，象征着佩戴者的无上勇气与狂野战力。	200	13.5	equipposter/poster_jewelry_shouguguashi.png	equipposter/poster_jewelry_shouguguashi.png	equiptex/tex_jewelry_shouguguashi.png
77	金戒指	3	2	纯金打造的戒指，价格高昂，有钱有势的人才会佩戴。	204	13.1	equipposter/poster_jewelry_jinjiezhi.png	equipposter/poster_jewelry_jinjiezhi.png	equiptex/tex_jewelry_jinjiezhi.png
78	金耳环	3	2	纯金打造的耳环，价格高昂，有钱有势的人才会佩戴。	196	13	equipposter/poster_jewelry_jinerhuan.png	equipposter/poster_jewelry_jinerhuan.png	equiptex/tex_jewelry_jinerhuan.png
79	海星项链	3	3	海星造型的项链，上面镶嵌着珍珠，使其更具海洋的气息。	125	8.8	equipposter/poster_jewelry_haixingxianglian.png	equipposter/poster_jewelry_haixingxianglian.png	equiptex/tex_jewelry_haixingxianglian.png
80	海星手镯	3	3	镶嵌着黄金质地五角星的手镯，造型优美，价格不菲。	122	8.5	equipposter/poster_jewelry_haixingshouzhuo.png	equipposter/poster_jewelry_haixingshouzhuo.png	equiptex/tex_jewelry_haixingshouzhuo.png
81	银质怀表	3	3	白银打造的怀表，不但可以作为装饰品，更可以提高佩戴者的时间观念。	120	8.2	equipposter/poster_jewelry_yinzhihuaibiao.png	equipposter/poster_jewelry_yinzhihuaibiao.png	equiptex/tex_jewelry_yinzhihuaibiao.png
82	水晶吊坠	3	3	普通水晶打造的吊坠，晶莹剔透，美轮美奂。	114	7.9	equipposter/poster_jewelry_shuijingdiaozhui.png	equipposter/poster_jewelry_shuijingdiaozhui.png	equiptex/tex_jewelry_shuijingdiaozhui.png
83	蓝水晶挂饰	3	3	蓝水晶打造的吊坠，晶莹剔透，美轮美奂。	113	7.6	equipposter/poster_jewelry_lanshuijingguashi.png	equipposter/poster_jewelry_lanshuijingguashi.png	equiptex/tex_jewelry_lanshuijingguashi.png
84	紫水晶挂饰	3	3	紫水晶打造的吊坠，晶莹剔透，美轮美奂。	110	7.5	equipposter/poster_jewelry_zishuijingguashi.png	equipposter/poster_jewelry_zishuijingguashi.png	equiptex/tex_jewelry_zishuijingguashi.png
85	珍珠项链	3	3	珍珠串联而成的项链，每颗珍珠都经过严格甄选，圆润有光，价值不菲。	110	7.4	equipposter/poster_jewelry_zhenzhuxianglian.png	equipposter/poster_jewelry_zhenzhuxianglian.png	equiptex/tex_jewelry_zhenzhuxianglian.png
86	红宝石戒指	3	4	镶嵌着红宝石的戒指，象征着富有和活力。	70	4.4	equipposter/poster_jewelry_hongbaoshijiezhi.png	equipposter/poster_jewelry_hongbaoshijiezhi.png	equiptex/tex_jewelry_hongbaoshijiezhi.png
87	翡翠项链	3	4	以翡翠饰品作为吊坠的项链，而链子则为白银质地，故而价值一般。	65	4.3	equipposter/poster_jewelry_feicuixianglian.png	equipposter/poster_jewelry_feicuixianglian.png	equiptex/tex_jewelry_feicuixianglian.png
88	翡翠指环	3	4	表层镶嵌着翡翠的戒指，使得整个戒指呈现出翠绿色。	65	4.1	equipposter/poster_jewelry_feicuizhihuan.png	equipposter/poster_jewelry_feicuizhihuan.png	equiptex/tex_jewelry_feicuizhihuan.png
89	银戒指	3	4	纯银打造的戒指，平淡无奇，普通人也能买得起的常见首饰。	63	3.9	equipposter/poster_jewelry_yinjiezhi.png	equipposter/poster_jewelry_yinjiezhi.png	equiptex/tex_jewelry_yinjiezhi.png
90	生铁戒指	3	4	生铁打造的戒指，朴素平淡，坚固耐用。	59	3.9	equipposter/poster_jewelry_shengtiejiezhi.png	equipposter/poster_jewelry_shengtiejiezhi.png	equiptex/tex_jewelry_shengtiejiezhi.png
91	生铁项链	3	4	生铁打造的项链，朴素平淡，坚固耐用。	58	3.9	equipposter/poster_jewelry_shengtiexianglian.png	equipposter/poster_jewelry_shengtiexianglian.png	equiptex/tex_jewelry_shengtiexianglian.png
