关卡ID	章ID	关卡名称	BOSS类型	体力消耗数量	每日限制攻打成功次数	胜利后奖励经验	胜利后奖励银两	掉落物品	关卡NPC	建议等级	关卡剧情	头像路径
1012	10	奇怪生物	1	1	10	395	790	50000_30_1,50000_63_1	1012	21	终于来到山顶，碰到一个似人似鹿奇怪的生物。他是吃了人人果实的驯鹿，跟随医娘学习医术。	members/head_char_qiaoba.png
1013	10	他回来了	0	1	999	339	678	0	1013	21	体力逐渐回复，娜美病情也变得稳定，但是乔巴突然紧张起来，似乎是有仇敌回来了。	members/head_char_haidao6.png
1014	10	神射手	1	1	10	399	798	41000_70_1,50000_35_1	1014	22	原来是谋害了乔巴唯一的朋友兼养父的仇敌，原磁鼓国国王重新回到了这里。	members/head_char_jiesi.png
1015	10	磁鼓国王	2	1	5	457	914	50000_56_1,50000_53_1	1015	22	这个吃生铁的家伙，不就是在船上被打飞的人么？看来有必要再一次把他打飞！	members/head_char_waboer.png
1101	11	炎热沙漠	0	1	999	345	690	0	1101	22	来到沙漠王国后，炎热天气让大家难以忍受，偏偏这时又被海军认了出来，打败他们离开这里。	members/head_char_haijun2.png
1102	11	行礼丢失	0	1	999	347	694	0	1102	22	采购完食物，薇薇公主决定穿越沙漠，说服叛军。沙漠中存在着各种危险的野兽，务必小心。	members/head_char_xiyi.png
1103	11	沙暴来袭	0	1	999	349	698	0	1103	22	因为沙漠蜥蜴的骚扰，而丢失了行礼，使得前进变得更加困难。偏偏此时又遇到了巨大的沙暴。	members/head_char_xiyi.png
1104	11	埋葬绿洲	0	1	999	351	702	0	1104	22	来到尤巴，原先的绿洲已经被一片荒漠掩埋，叛军也迁移到别处，只有继续前行了。	members/head_char_xiyi.png
1105	11	敌人来袭	0	1	999	357	714	0	1105	22	为了能尽快解救这个王国，必须分头行动，你将带领伙伴们直接向雨城进发，击败克罗克达尔。	members/head_char_jumin.png
1106	11	夺取钥匙	1	1	10	426	852	50000_65_1	1106	23	来到克罗克达尔的赌场，却落入了陷阱，被囚禁牢笼，钥匙被大砂鳄吞掉了，击败它拿回钥匙。	members/head_char_dashae.png
1107	11	挣脱囚笼	0	1	999	373	746	0	1107	23	从牢笼中逃脱，被克罗克达尔的部下不断追击，尽快摆脱他们。	members/head_char_jumin.png
1108	11	路遇阻拦	0	1	999	380	760	0	1108	23	又一群百万长者挡在路前，没有路可以走了，只有打飞他们才行。	members/head_char_jumin.png
1109	11	亿万长者	0	1	999	388	776	0	1109	23	几名戴墨镜的家伙从侧面围了上来，看样子是更高级的打手，不过这些无法阻拦你前进的步伐。	members/head_char_yiwanzhangzhe.png
1110	11	冲向首都	0	1	999	397	794	0	1110	23	终于冲出赌场来了，要赶在克罗克达尔之前赶往首都，阻止叛军与国王军的冲突才行。	members/head_char_jumin.png
1111	11	分头行动	0	1	999	416	832	0	1111	23	面临重重阻拦，一行人只有再次分开，各自奔赴一个方向，肯定有一人会及时赶到，阻止战争。	members/head_char_jumin.png
1112	11	鼹鼠与棒球	1	1	10	509	1018	50000_37_1,50000_63_1	1112	24	这个一直在地下穿行的家伙是什么，鼹鼠么？还有那个拿棒球的家伙，真是一对奇怪的组合。	members/head_char_mr4.png
1113	11	人妖登场	1	1	10	517	1034	41000_50_1,50000_36_1	1113	24	这不是在船上遇到，可以模仿别人模样的有趣家伙么，想不到竟然会成为敌人！	members/head_char_mr2.png
1114	11	荆棘刀刃	1	1	10	526	1052	50000_64_1	1114	25	这里还有一个恶魔果实能力者，竟然可以让身体的各个部分都变成尖刺，真不好对付。	members/head_char_mr1.png
1115	11	超越	2	1	5	612	1224	50000_25_1,50000_20_1	1115	25	薇薇赌上了自己的性命去拯救国家，作为同伴，一定要击倒眼前的罪魁祸首——克罗克达尔。	members/head_char_keluokedaer.png
1201	12	天国之门	0	1	999	466	932	0	1201	25	顺着冲上天空的水注，来到云层之上，雄伟的大门正在打开，原来真的存在空岛！	members/head_char_shengwu1.png
1202	12	空中海洋	0	1	999	473	946	0	1202	25	不可思议，云彩竟然像海水一样，真是个奇妙的世界，不知道前面会碰到什么更有意思的事情。	members/head_char_shengwu1.png
1203	12	空岛特产	0	1	999	481	962	0	1203	25	哇！云海里竟然还有生物，好大的乌贼，可是乌贼不是生活在水里么……	members/head_char_shengwu2.png
1204	12	奇异鱼类	0	1	999	491	982	0	1204	25	呃……还有鱼，连鳞片都长得像羽毛，这就是罗兰度日记上提到的奇妙的空岛鱼吧。	members/head_char_shengwu2.png
1205	12	空之骑士	1	1	10	583	1166	50000_33_1,50000_62_1	1205	26	有个像牛的家伙踩着四角云冲过来了，他竟然在云上奔驰，嚷嚷着要除掉你们，是想打架么？	members/head_char_ganfuer.png
1206	12	彩虹迷雾	0	1	999	510	1020	0	1206	26	想不到空岛上会有“神”的存在，而他派出了一群神兵，以非法入境的罪名，前来抓人。	members/head_char_shenbing1.png
1207	12	神之制裁	0	1	999	520	1040	0	1207	26	被打败的神兵们，再次袭来，并叫嚷着会有神罚降临，真是一群恼人的家伙。	members/head_char_shenbing1.png
1208	12	活祭品	0	1	999	530	1060	0	1208	26	不甘失败的神兵们，趁机将独自在外的娜美掳走，声称要当做祭品，献给神。	members/head_char_shenbing1.png
1209	12	目标神岛	0	1	999	568	1136	0	1209	26	柯妮丝也被天神的惩罚轰击，一定要将她和娜美救出来，向神岛进发吧。	members/head_char_shenbing1.png
1210	12	球之试炼	1	1	10	709	1418	41000_58_1,50000_35_1	1210	27	进入神岛森林后，将面临四大试炼，选择了球之试炼后，迎来了一个肥胖的神官。	members/head_char_shadeli.png
1211	12	遭遇战	0	1	999	652	1304	0	1211	27	击败了球之试炼的神官，继续前进，碰到神兵长带着一群神兵前来拦截。	members/head_char_shenbingduizhang.png
1212	12	沼之试练	1	1	10	815	1630	50000_59_1,41000_52_1	1212	27	接下来碰到沼之试炼的神官，整个区域都变成了沼泽，时间已经不多，必须尽快打倒他。	members/head_char_gaidazi.png
1213	12	绳之试炼	1	1	10	873	1746	50000_23_1,50000_63_1	1213	27	留守的乔巴遭遇到神官之一修罗的袭击，立刻赶去营救他，敌人居然是掌管绳之试炼的神官。	members/head_char_xiula.png
1214	12	铁之试炼	1	1	10	878	1756	41000_58_1,50000_30_1	1214	27	击败了修拉，又遇到持有能够喷出铁云的‘云贝’，变化多端刀具的铁之试炼神官。	members/head_char_omu.png
1215	12	遗迹对决	2	1	5	1006	2012	41000_44_1,41000_43_1	1215	28	终于来到神岛祭坛，见到了“神”，原来他也是一名恶魔果实能力者——响雷果实的拥有者。	members/head_char_ainilu.png
1301	13	发现岛屿	0	1	999	759	1518	0	1301	28	整个岛屿像一个戒指，形成一个细长的圆环，其中一部分似乎还淹没在海洋中。	members/head_char_yeshou.png
1302	13	加长生物	0	1	999	761	1522	0	1302	28	好厉害，岛上所有的生物都是又细又长。这是腊肠狗么？	members/head_char_yeshou.png
1303	13	竹子？！	0	1	999	764	1528	0	1303	28	好长的竹子，都已经生长到云端了，而且竟然会自己逃跑！怎么可以输给一根竹子！	members/head_char_yeshou.png
1304	13	踩高跷的人	0	1	999	768	1536	0	1304	28	竹子断了之后，竟然出现一个白胡子老头，是竹子精灵么？	members/head_char_yeshou.png
1305	13	银狐海贼团	0	1	999	772	1544	0	1305	28	与此同时，梅利号被另外一艘大船给包围起来，船上跳下来的海贼们，发起了抢人大作战挑战。	members/head_char_haidao4.png
1306	13	环形船赛	1	1	10	904	1808	50000_59_1,41000_59_1	1306	29	第一场比赛是环形船赛，首先划船绕岛一周到达终点的人，即获得胜利，上吧！	members/head_char_kabodi.png
1307	13	珊瑚礁迷宫	0	1	999	778	1556	0	1307	29	这群可恶的家伙，竟然一开始就使用暴力，打了个措手不及，快追上去。	members/head_char_haidao4.png
1308	13	长峡角	0	1	999	782	1564	0	1308	29	绕过长峡角，就完成一半的航行了，继续加油。	members/head_char_haidao4.png
1309	13	假路标	0	1	999	785	1570	0	1309	29	前面出现了一个右转的指向标，是不是真的需要向右边转呢？	members/head_char_haidao4.png
1310	13	长竹林峡角	0	1	999	789	1578	0	1310	29	看到长竹林峡角了，通过那里就能看到终点了。	members/head_char_haidao4.png
1311	13	胜利在望	0	1	999	802	1604	0	1311	29	即将到达终点，胜利在望，但大家突然慢了下来，发生了什么事情？	members/head_char_haidao4.png
1312	13	第一场败北	1	1	10	950	1900	50000_22_1,50000_63_1	1312	30	太卑鄙了，竟然利用缓慢射线将大家的速度变慢，真不甘心。	members/head_char_mengda.png
1313	13	火爆斗球	1	1	10	965	1930	41000_52_1,50000_34_1	1313	30	为了营救回输掉的伙伴，第二场火爆斗球，必须要胜利！	members/head_char_hanbao.png
1314	13	暴力比赛	1	1	10	981	1962	50000_51_1,41000_69_1	1314	30	果然又是充满暴力的比赛，绝不是单纯的竞技，所以放开手脚大打一场吧。	members/head_char_bigepan.png
1315	13	反败为胜	1	1	10	1010	2020	50000_28_1,50000_52_1	1315	30	对方的船员配合十分默契，各种阴谋诡计层出不穷……	members/head_char_pikelusi.png
1316	13	船长对决	2	1	5	1188	2376	41000_31_1,41000_43_1	1316	31	经过千辛万苦，终于取得第二场比赛的胜利，最后一场大决战即将开始。	members/head_char_fukesi.png
1401	14	前往水都	0	1	999	916	1832	0	1401	31	海上竟然会出现火车，太不可思议了。刚要赶过去看看这趟神奇的列车，却碰到了巨大的海怪。	members/head_char_henggang.png
1402	14	三亿贝里	0	1	999	943	1886	0	1402	31	携带着三亿贝里，来到水之都准备维修梅利号。可装满贝里的皮箱却被一群小偷盯上了……	members/head_char_shangjinlieren2.png
