id	name	加成类型	时效	升级条件描述	说明	iconPic	namePic	加成额度
1023	汪洋大盗	1	0	通关{顶上决战-白胡子时代}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	230
2001	海贼VIP	2	0	VIP等级达到1级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5
2002	海贼VIP	2	0	VIP等级达到2级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	10
2003	海贼VIP	2	0	VIP等级达到3级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	15
2004	海贼VIP	2	0	VIP等级达到4级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	20
2005	海贼VIP	2	0	VIP等级达到5级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	25
2006	海贼VIP	2	0	VIP等级达到6级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	30
2007	海贼VIP	2	0	VIP等级达到7级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	35
2008	海贼VIP	2	0	VIP等级达到8级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	40
2009	海贼VIP	2	0	VIP等级达到9级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	45
2010	海贼VIP	2	0	VIP等级达到10级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	50
2011	海贼VIP	2	0	VIP等级达到11级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	55
2012	海贼VIP	2	0	VIP等级达到12级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	60
2013	海贼VIP	2	0	VIP等级达到13级	加成效果只对{汪洋大盗}称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	65
3001	海贼无双	1	0	决斗历史最高排名达到10000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	20
3002	海贼无双	1	0	决斗历史最高排名达到9000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	40
3003	海贼无双	1	0	决斗历史最高排名达到8000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	60
3004	海贼无双	1	0	决斗历史最高排名达到7000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	80
3005	海贼无双	1	0	决斗历史最高排名达到6000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	100
3006	海贼无双	1	0	决斗历史最高排名达到5000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	120
3007	海贼无双	1	0	决斗历史最高排名达到4000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	140
3008	海贼无双	1	0	决斗历史最高排名达到3000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	160
3009	海贼无双	1	0	决斗历史最高排名达到2500名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	180
3010	海贼无双	1	0	决斗历史最高排名达到2000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	200
3011	海贼无双	1	0	决斗历史最高排名达到1500名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	220
3012	海贼无双	1	0	决斗历史最高排名达到1000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	240
3013	海贼无双	1	0	决斗历史最高排名达到500名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	260
3014	海贼无双	1	0	决斗历史最高排名达到400名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	280
3015	海贼无双	1	0	决斗历史最高排名达到300名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	300
3016	海贼无双	1	0	决斗历史最高排名达到250名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	320
3017	海贼无双	1	0	决斗历史最高排名达到200名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	340
3018	海贼无双	1	0	决斗历史最高排名达到150名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	360
3019	海贼无双	1	0	决斗历史最高排名达到100名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	380
3020	海贼无双	1	0	决斗历史最高排名达到50名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	400
3021	海贼无双	1	0	决斗历史最高排名达到40名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	420
3022	海贼无双	1	0	决斗历史最高排名达到30名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	440
3023	海贼无双	1	0	决斗历史最高排名达到20名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	460
3024	海贼无双	1	0	决斗历史最高排名达到10名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	480
3025	海贼无双	1	0	决斗历史最高排名达到1名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	600
4001	技能研究	1	0	拼合奥义次数达到10次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	10
4002	技能研究	1	0	拼合奥义次数达到20次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	20
4003	技能研究	1	0	拼合奥义次数达到40次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	30
4004	技能研究	1	0	拼合奥义次数达到60次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	40
4005	技能研究	1	0	拼合奥义次数达到80次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	50
4006	技能研究	1	0	拼合奥义次数达到100次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	60
4007	技能研究	1	0	拼合奥义次数达到150次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	70
4008	技能研究	1	0	拼合奥义次数达到200次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	80
4009	技能研究	1	0	拼合奥义次数达到250次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	90
4010	技能研究	1	0	拼合奥义次数达到300次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	100
5001	一往无前	1	0	参与一往无前次数达到10次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	10
5002	一往无前	1	0	参与一往无前次数达到20次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	20
5003	一往无前	1	0	参与一往无前次数达到40次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	30
5004	一往无前	1	0	参与一往无前次数达到60次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	40
5005	一往无前	1	0	参与一往无前次数达到80次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	50
5006	一往无前	1	0	参与一往无前次数达到100次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	60
5007	一往无前	1	0	参与一往无前次数达到150次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	70
5008	一往无前	1	0	参与一往无前次数达到200次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	80
5009	一往无前	1	0	参与一往无前次数达到250次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	90
5010	一往无前	1	0	参与一往无前次数达到300次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	100
6001	闯阵勇士	1	0	参加群雄破阵次数达到10次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	10
6002	闯阵勇士	1	0	参加群雄破阵次数达到20次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	20
6003	闯阵勇士	1	0	参加群雄破阵次数达到40次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	30
6004	闯阵勇士	1	0	参加群雄破阵次数达到60次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	40
6005	闯阵勇士	1	0	参加群雄破阵次数达到80次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	50
6006	闯阵勇士	1	0	参加群雄破阵次数达到100次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	60
6007	闯阵勇士	1	0	参加群雄破阵次数达到150次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	70
6008	闯阵勇士	1	0	参加群雄破阵次数达到200次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	80
6009	闯阵勇士	1	0	参加群雄破阵次数达到250次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	90
6010	闯阵勇士	1	0	参加群雄破阵次数达到300次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	100
7001	四海一家	1	0	好友数量达到1人	none	title/poster_title_haoyou.png	titletex/tex_title_haoyou.png	50
7002	四海一家	1	0	好友数量达到5人	none	title/poster_title_haoyou.png	titletex/tex_title_haoyou.png	100
7003	四海一家	1	0	好友数量达到10人	none	title/poster_title_haoyou.png	titletex/tex_title_haoyou.png	150
8001	傲视群英	2	86340	参与一往无前，并达到第20名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	30
8002	霸气四射	2	86340	参与一往无前，并达到第10名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	40
8003	谁与争锋	2	86340	参与一往无前，并达到第3名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	50
8004	超凡入圣	2	86340	参与一往无前，并达到第2名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	60
8005	天下归心	2	86340	参与一往无前，并达到第1名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	70
9001	撼天动地	2	86340	参与群雄破阵，并达到第20名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	30
9002	所向披靡	2	86340	参与群雄破阵，并达到第10名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	40
9003	攻无不克	2	86340	参与群雄破阵，并达到第3名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	50
9004	战无不胜	2	86340	参与群雄破阵，并达到第2名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	60
9005	所向无敌	2	86340	参与群雄破阵，并达到第1名	加成效果只对{汪洋大盗}称号有效	title/poster_title_paihang.png	titletex/tex_title_paihang.png	70
