ID	人物名称	人物品质	角色阵营	人物说明	默认技能	初始血量	初始攻击力	初始防御力	初始内力	初始经验值	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	人物机缘6	是否显示	Icom图片路径	海报图片路径	名字图片路径	背景图片路径	战斗图片	音效
11	黄猿	1	1	海军三上将之一，性格比较洒脱，懒散。但原则上的事情却一点都不含糊。	15	224 	157 	75 	292 	188 	480	392	424	168	450	639	1 	members/head_char_huangyuan.png	person/poster_char_huangyuan.png	chartex/tex_char_huangyuan.png	card02	person/poster_char_huangyuan.png	sound/man05.mp3
12	黑胡子	1	1	具有暗之恶魔果实能力，后来杀害了白胡子，取得震震果实。是黑胡子海贼团的领袖。	36	200 	175 	72 	334 	192 	409	387	455	169	156	201	1 	members/head_char_heihuzi.png	person/poster_char_heihuzi.png	chartex/tex_char_heihuzi.png	card02	person/poster_char_heihuzi.png	sound/man09.mp3
13	凯多	1	1	四皇之一，人称“百兽凯多”的男子。	74	214 	161 	73 	292 	184 	309	488	232	36	535	366	1 	members/head_char_kaiduo.png	person/poster_char_kaiduo.png	chartex/tex_char_kaiduo.png	card04	person/poster_char_kaiduo.png	sound/man011.mp3
14	夏洛特玲玲	1	1	四皇之一，体型巨大，性情暴虐，极度的嗜吃甜食。	30	208 	147 	80 	300 	184 	354	443	468	491	76	366	1 	members/head_char_xialuotelingling.png	person/poster_char_xialuotelingling.png	chartex/tex_char_xialuotelingling.png	card04	person/poster_char_xialuotelingling.png	sound/girl02.mp3
15	多弗朗明哥	1	1	唐吉诃德海贼团船长，“王下七武海”之一，拥有霸王色霸气。	74	214 	161 	75 	303 	184 	40	234	526	369	403	228	1 	members/head_char_duofolangmingge.png	person/poster_char_duofolangmingge.png	chartex/tex_char_duofolangmingge.png	card03	person/poster_char_duofolangmingge.png	sound/man07.mp3
16	巴索罗米·熊	1	1	外号“暴君”，“王下七武海”之一，但非常痛恨世界政府，是革命军的干部。	40	210 	150 	82 	294 	180 	55	598	238	519	530	33	1 	members/head_char_xiong.png	person/poster_char_xiong.png	chartex/tex_char_xiong.png	card01	person/poster_char_xiong.png	sound/man09.mp3
17	贝克曼	1	1	红发海贼团中的副船长。有过人的智商及强大的腕力	29	218 	154 	75 	306 	184 	594	240	206	653	399	146	1 	members/head_char_banbeikeman.png	person/poster_char_banbeikeman.png	chartex/tex_char_banbeikeman.png	card04	person/poster_char_banbeikeman.png	sound/man05.mp3
18	马尔科	1	1	白胡子海贼团第一队队长，动物系“幻兽种”果实能力者。	34	238 	139 	76 	286 	180 	230	322	94	127	261	621	1 	members/head_char_maerke.png	person/poster_char_maerke.png	chartex/tex_char_maerke.png	card04	person/poster_char_maerke.png	sound/man05.mp3
19	艾斯	1	1	路飞的哥哥，海贼王哥尔·D·罗杰的儿子。绰号“火拳”	41	200 	180 	85 	210 	184 	405	80	570	446	481	582	1 	members/head_char_aisi.png	person/poster_char_aisi.png	chartex/tex_char_aisi.png	card04	person/poster_char_aisi.png	sound/man03.mp3
20	基德	1	1	基德海贼团船长能力者，拥有磁铁一般的能力，能吸引铁制的物品也能反射。	30	216 	150 	77 	294 	184 	191	142	290	197	630	76	1 	members/head_char_jide.png	person/poster_char_jide.png	chartex/tex_char_jide.png	card02	person/poster_char_jide.png	sound/man05.mp3
21	罗	1	1	红心海贼团船长，同时也是一名医生。绰号：死亡外科医生	36	224 	142 	75 	308 	184 	187	652	291	472	62	373	1 	members/head_char_luo.png	person/poster_char_luo.png	chartex/tex_char_luo.png	card04	person/poster_char_luo.png	sound/man05.mp3
22	麦哲伦	1	1	深海监狱推进城署长，被誉为“监狱最强的男人”，责任心极强。超人系毒毒果实能力者。	77	196 	146 	81 	306 	180 	241	508	378	365	109	117	1 	members/head_char_maizhelun.png	person/poster_char_maizhelun.png	chartex/tex_char_maizhelun.png	card02	person/poster_char_maizhelun.png	sound/man08.mp3
23	艾尼路	1	1	空岛的统治者，响雷果实能力者，遇到攻击时身体可以变成雷电元素使物理攻击无效。	21	204 	164 	74 	292 	180 	300	591	343	298	441	165	1 	members/head_char_ainilu.png	person/poster_char_ainilu.png	chartex/tex_char_ainilu.png	card02	person/poster_char_ainilu.png	sound/man05.mp3
24	甚平	1	1	原为“王下七武海”，鱼人海贼团船长。鲸鲨鱼人，为人行侠仗义，人称“海侠”。	43	216 	154 	74 	303 	180 	467	540	527	478	567	464	1 	members/head_char_shenping.png	person/poster_char_shenping.png	chartex/tex_char_shenping.png	card02	person/poster_char_shenping.png	sound/man05.mp3
25	汉库克	1	1	王下七武海中唯一的女性，九蛇海贼团的船长，海贼王中最美的女人。	44	260 	210 	0 	320 	180 	679	133	463	674	531	266	1 	members/head_char_hankuke.png	person/poster_char_hankuke.png	chartex/tex_char_hankuke.png	card03	person/poster_char_hankuke.png	sound/girl01.mp3
26	克洛克达尔	1	1	王下七武海之一，具有着沙沙果实能力，能自由的操控沙子，并能将身体沙化。	22	200 	164 	74 	303 	180 	668	53	235	529	536	265	1 	members/head_char_keluokedaer.png	person/poster_char_keluokedaer.png	chartex/tex_char_keluokedaer.png	card02	person/poster_char_keluokedaer.png	sound/man05.mp3
27	莫利亚	1	1	王下七武海之一，“影子果实”能力者，影子人，拥有夺取别人影子的能力。	74	208 	149 	70 	328 	184 	339	35	528	439	289	117	1 	members/head_char_moliya.png	person/poster_char_moliya.png	chartex/tex_char_moliya.png	card02	person/poster_char_moliya.png	sound/man05.mp3
28	霍金斯	1	1	个性沉着冷静,讲话有占卜师的样子,有着比山治还诡异的眉毛.人称“魔术师”。	30	206 	146 	68 	306 	176 	170	537	193	173	321	368	1 	members/head_char_huojinsi.png	person/poster_char_huojinsi.png	chartex/tex_char_huojinsi.png	card04	person/poster_char_huojinsi.png	sound/man04.mp3
29	德雷克	1	1	原为海军少将，后离开海军，现为德雷克海贼团船长。为霸王龙果实能力者。	76	210 	150 	71 	278 	176 	107	599	120	174	476	76	1 	members/head_char_duoleike.png	person/poster_char_duoleike.png	chartex/tex_char_duoleike.png	card02	person/poster_char_duoleike.png	sound/man08.mp3
30	雨之希留	1	1	原为海军本部海底大监狱推进城看守长，现在是黑胡子海贼团团员。	76	194 	159 	71 	275 	176 	460	509	512	662	579	4	1 	members/head_char_xiliu.png	person/poster_char_xiliu.png	chartex/tex_char_xiliu.png	card02	person/poster_char_xiliu.png	sound/man07.mp3
31	基拉	1	1	很喜欢战斗的武士海贼，个性沉默，身手敏捷，武器为挂在手上的镰刀，基德海贼团团员	76	206 	147 	71 	306 	176 	461	65	324	573	602	415	1 	members/head_char_jila.png	person/poster_char_jila.png	chartex/tex_char_jila.png	card04	person/poster_char_jila.png	sound/man03.mp3
32	贝基	1	1	认为违抗他的人就算是部下也杀无赦。身体内部就像是一座城堡。	75	188 	145 	69 	308 	172 	432	272	143	574	229	254	1 	members/head_char_beiji.png	person/poster_char_beiji.png	chartex/tex_char_beiji.png	card04	person/poster_char_beiji.png	sound/man06.mp3
33	波妮	1	1	邦妮海贼团船长，有着粉红色长直发，性格粗鲁傲慢，吃相也相当难看，是个女大胃王。	74	220 	139 	71 	306 	176 	494	379	449	89	295	186	1 	members/head_char_boni.png	person/poster_char_boni.png	chartex/tex_char_boni.png	card03	person/poster_char_boni.png	sound/girl03.mp3
34	钻石乔兹	1	1	白胡子海贼团第三队长，人称“钻石乔兹”，全身可以变为钻石，也可以局部钻石化。	45	206 	115 	84 	297 	172 	102	683	541	585	263	505	1 	members/head_char_qiaozi.png	person/poster_char_qiaozi.png	chartex/tex_char_qiaozi.png	card02	person/poster_char_qiaozi.png	sound/man09.mp3
35	卡里布	1	1	卡里布海贼团的船长，为自然系的沼沼果实能力者，泥沼人，能将身体任何部分泥浆化。	69	202 	142 	80 	294 	176 	239	538	513	575	98	190	1 	members/head_char_kalibu.png	person/poster_char_kalibu.png	chartex/tex_char_kalibu.png	card04	person/poster_char_kalibu.png	sound/man04.mp3
36	乌尔基	1	1	破戒僧海贼团船长，11位超新星之一，空岛人，船员以“僧正”来称呼他。	30	202 	150 	68 	289 	176 	285	537	319	66	299	259	1 	members/head_char_wuerji.png	person/poster_char_wuerji.png	chartex/tex_char_wuerji.png	card02	person/poster_char_wuerji.png	sound/man09.mp3
37	阿普	1	1	广播海贼团船长，11位超新星之一，伟大航路出身，“长手族”。恶魔果实能力者。	36	196 	154 	77 	289 	176 	605	192	320	604	76	451	1 	members/head_char_apu.png	person/poster_char_apu.png	chartex/tex_char_apu.png	card04	person/poster_char_apu.png	sound/man05.mp3
38	伊万科夫	1	1	革命军干部，可以控制激素，从而自内部将人类改造的人体工程师。	33	206 	145 	71 	292 	176 	151	445	54	186	562	371	1 	members/head_char_yiwakefu.png	person/poster_char_yiwakefu.png	chartex/tex_char_yiwakefu.png	card02	person/poster_char_yiwakefu.png	sound/man05.mp3
39	罗布·路奇	1	1	CP9实质上的队长，以黑暗的正义为本职，被称为CP9历代最强最冷酷的杀戮兵器	77	202 	157 	71 	261 	172 	451	609	294	431	401	421	1 	members/head_char_luqi.png	person/poster_char_luqi.png	chartex/tex_char_luqi.png	card04	person/poster_char_luqi.png	sound/man05.mp3
40	比斯塔	1	1	白胡子海贼团第五队队长，使用双手花剑。	46	196 	159 	73 	269 	176 	623	250	214	121	564	395	1 	members/head_char_bisita.png	person/poster_char_bisita.png	chartex/tex_char_bisita.png	card02	person/poster_char_bisita.png	sound/man08.mp3
41	路飞	1	1	草帽海贼团船长，头戴草帽，乐观善良、天真单纯，立志成为海贼王；喜欢探险，最爱吃肉。	26	175 	158 	68 	145 	180 	426	52	42	44	51	571	1 	members/head_char_lufei.png	person/poster_char_lufei.png	chartex/tex_char_lufei.png	card04	person/poster_char_lufei.png	sound/lufei.mp3
42	费雪·泰格	2	1	太阳海贼团首领，鱼人岛后街的领袖人物。	43	186 	124 	71 	152 	136 	673	377	615	493	18	0	1 	members/head_char_taige.png	person/poster_char_taige.png	chartex/tex_char_taige.png	card02	person/poster_char_taige.png	sound/man09.mp3
43	奥兹	2	1	喜欢将自己喜欢的岛屿运走，得到称号“运国奥兹”。	26	198 	128 	63 	149 	140 	628	651	61	553	305	0	1 	members/head_char_aozi.png	person/poster_char_aozi.png	chartex/tex_char_aozi.png	card02	person/poster_char_aozi.png	sound/man011.mp3
44	小奥兹	2	1	“运国奥兹”的后代，小奥兹Jr身体丝毫不比祖先小，绝对是个难缠的对手。	30	189 	125 	68 	145 	136 	629	81	551	7	305	0	1 	members/head_char_xiaoaozi.png	person/poster_char_xiaoaozi.png	chartex/tex_char_xiaoaozi.png	card01	person/poster_char_xiaoaozi.png	sound/man09.mp3
45	拉奇·鲁	2	1	总是带着笑容，以及嘴上咬一块肉，虽然体形肥胖但是在战斗时速度却不输给任何人。	75	207 	131 	66 	154 	140 	496	198	207	663	194	0	1 	members/head_char_laqilu.png	person/poster_char_laqilu.png	chartex/tex_char_laqilu.png	card01	person/poster_char_laqilu.png	sound/man08.mp3
46	玛克凯	2	1	有着闪电状的胡子，使用武器为刀，战斗时会通电。	21	195 	140 	63 	149 	136 	103	610	161	7	264	0	1 	members/head_char_makekai.png	person/poster_char_makekai.png	chartex/tex_char_makekai.png	card01	person/poster_char_makekai.png	sound/man05.mp3
47	耶稣布	2	1	红发海贼团的狙击手、乌索普的父亲。枪法百发百中，据说可以百步之外打中老鼠的心脏。	75	185 	185 	70 	0 	128 	279	642	207	199	278	0	1 	members/head_char_yesubu.png	person/poster_char_yesubu.png	chartex/tex_char_yesubu.png	card04	person/poster_char_yesubu.png	sound/man05.mp3
48	大麦町	2	1	海军本部中将，犬犬果实的能力者，能变身为大麦町，同时也擅长“六式”。	77	182 	140 	66 	154 	136 	411	394	657	672	656	0	1 	members/head_char_damaiding.png	person/poster_char_damaiding.png	chartex/tex_char_damaiding.png	card04	person/poster_char_damaiding.png	sound/man05.mp3
49	恶狼	2	1	拥有全世界都为之恐怖的庞大身躯，人称巨大战舰。	68	197 	124 	66 	160 	140 	328	205	246	293	264	0	1 	members/head_char_elang.png	person/poster_char_elang.png	chartex/tex_char_elang.png	card02	person/poster_char_elang.png	sound/man08.mp3
50	蒂波	2	1	原海底大监狱第六层重犯，是史上最凶的女海贼。	69	188 	128 	71 	145 	140 	329	205	246	293	649	0	1 	members/head_char_dibo.png	person/poster_char_dibo.png	chartex/tex_char_dibo.png	card02	person/poster_char_dibo.png	sound/girl02.mp3
51	乔特	2	1	被囚禁于海底监狱的第六层的重犯，爱喝酒。	69	180 	136 	62 	147 	136 	330	205	246	293	458	0	1 	members/head_char_qiaote.png	person/poster_char_qiaote.png	chartex/tex_char_qiaote.png	card02	person/poster_char_qiaote.png	sound/man09.mp3
52	皮萨罗	2	1	一直有当船长野心的老人，标志是头上的尖尖的双角，有一双钻头一样的双手。	69	189 	131 	71 	143 	136 	331	205	246	293	375	0	1 	members/head_char_pisaluo.png	person/poster_char_pisaluo.png	chartex/tex_char_pisaluo.png	card04	person/poster_char_pisaluo.png	sound/man09.mp3
53	索隆	2	1	草帽海贼团副船长、剑士，腰带上佩三把刀，自称三刀流剑客，欲成为世界第一剑客。	27	170 	155 	60 	140 	136 	43	433	352	334	601	59	1 	members/head_char_suolong.png	person/poster_char_suolong.png	chartex/tex_char_suolong.png	card04	person/poster_char_suolong.png	sound/suolong.mp3
54	佛萨	2	1	白胡子海贼团十五队队长，能够以某种方式点燃刀身并使其完全被火焰缠绕住。	76	197 	123 	65 	164 	140 	2	99	587	7	543	0	1 	members/head_char_fosa.png	person/poster_char_fosa.png	chartex/tex_char_fosa.png	card04	person/poster_char_fosa.png	sound/man08.mp3
55	金古多	2	1	白胡子海贼团十一番队队长，很擅长战斗，极快的反应能力。拥有超常的体力。	52	195 	138 	66 	143 	136 	507	100	552	7	190	0	1 	members/head_char_jinguduo.png	person/poster_char_jinguduo.png	chartex/tex_char_jinguduo.png	card04	person/poster_char_jinguduo.png	sound/man05.mp3
56	布伦海姆	2	1	白胡子海贼团九番队队长，身穿灰色马甲，两臂的三角肌上均有白胡子的紫色骷髅头标志。	76	189 	135 	62 	146 	140 	610	101	588	7	543	0	1 	members/head_char_bulunhaimu.png	person/poster_char_bulunhaimu.png	chartex/tex_char_bulunhaimu.png	card04	person/poster_char_bulunhaimu.png	sound/man08.mp3
57	阿特摩斯	2	1	白胡子海贼团十三番队队长，武器为两把大剑，威力十足。	52	191 	138 	62 	154 	136 	380	610	115	7	475	0	1 	members/head_char_atemosi.png	person/poster_char_atemosi.png	chartex/tex_char_atemosi.png	card01	person/poster_char_atemosi.png	sound/man08.mp3
58	战桃丸	2	1	海军本部科学部队队长，自称是世界上口风最紧的男人和世界上防御力最强的人。	77	184 	1 	130 	99 	128 	263	471	200	216	288	0	1 	members/head_char_zhantaowan.png	person/poster_char_zhantaowan.png	chartex/tex_char_zhantaowan.png	card02	person/poster_char_zhantaowan.png	sound/man03.mp3
59	香吉士	2	1	草帽海贼团厨师，金发卷眉，香烟不离口，海贼中的绅士，一见到美女战斗力为零的家伙。	28	170 	130 	75 	150 	136 	43	318	204	584	393	118	1 	members/head_char_xiangjishi.png	person/poster_char_xiangjishi.png	chartex/tex_char_xiangjishi.png	card02	person/poster_char_xiangjishi.png	sound/xiangjishi.mp3
60	妮可罗宾	2	1	草帽海贼团团员，是个天才考古学家，拥有着画画恶魔果实的能力者。	35	180 	124 	66 	160 	136 	43	351	48	315	418	520	1 	members/head_char_luobin.png	person/poster_char_luobin.png	chartex/tex_char_luobin.png	card03	person/poster_char_luobin.png	sound/luobin.mp3
61	布鲁克	2	1	草帽海贼团音乐家，因为吃了黄泉果实，死后复活过一次。梦想到达伟大航道的尽头。	36	188 	120 	68 	150 	136 	43	23	47	45	603	166	1 	members/head_char_buluke.png	person/poster_char_buluke.png	chartex/tex_char_buluke.png	card02	person/poster_char_buluke.png	sound/buluke.mp3
62	弗兰奇	2	1	草帽海贼团船匠，身为改造人。传说中的船匠托姆的其中一位徒弟。	34	189 	129 	65 	150 	140 	43	46	532	542	233	565	1 	members/head_char_folanqi.png	person/poster_char_folanqi.png	chartex/tex_char_folanqi.png	card04	person/poster_char_folanqi.png	sound/folanqi.mp3
63	乔巴	2	1	草帽海贼团船医，吃了人人果实的驯鹿能力者，人人驯鹿。	31	213 	129 	59 	138 	136 	43	147	361	188	388	477	1 	members/head_char_qiaoba.png	person/poster_char_qiaoba.png	chartex/tex_char_qiaoba.png	card03	person/poster_char_qiaoba.png	sound/qiaoba.mp3
64	乌索普	2	1	草帽海贼团狙击手，曾是出一名的吹牛大王，但人比较善良，梦想是要成为勇敢的海上战士。	29	195 	131 	62 	146 	136 	43	148	533	141	643	93	1 	members/head_char_wusuopu.png	person/poster_char_wusuopu.png	chartex/tex_char_wusuopu.png	card04	person/poster_char_wusuopu.png	sound/wusuopu.mp3
65	娜美	2	1	草帽海贼团航海士，精通气象学和航海术，头脑聪明又机灵，能用身体感知天气。	25	170 	130 	60 	165 	136 	43	213	49	335	390	499	1 	members/head_char_namei.png	person/poster_char_namei.png	chartex/tex_char_namei.png	card03	person/poster_char_namei.png	sound/namei.mp3
66	闪电	2	1	革命军的骨干，能将身体的任何一个部位变成剪刀，可以切开任何东西并为其所用。	67	180 	125 	61 	150 	132 	688	149	27	104	305	0	1 	members/head_char_shandian.png	person/poster_char_shandian.png	chartex/tex_char_shandian.png	card04	person/poster_char_shandian.png	sound/man03.mp3
67	多玛	2	1	二刀流剑士，背后有只猴子。	65	179 	125 	59 	150 	132 	158	635	130	96	543	0	1 	members/head_char_duoma.png	person/poster_char_duoma.png	chartex/tex_char_duoma.png	card04	person/poster_char_duoma.png	sound/man04.mp3
68	佩	2	1	头戴海贼帽，留着蓝色波浪型长发的美女。	65	171 	126 	57 	157 	132 	132	32	131	189	311	0	1 	members/head_char_pei.png	person/poster_char_pei.png	chartex/tex_char_pei.png	card03	person/poster_char_pei.png	sound/girl05.mp3
69	迪卡尔班兄弟	2	1	是孪生兄弟，脸上的伤痕位置与彼此相反。	52	177 	129 	64 	139 	132 	159	419	71	347	189	0	1 	members/head_char_dikaerbanxiongdi.png	person/poster_char_dikaerbanxiongdi.png	chartex/tex_char_dikaerbanxiongdi.png	card04	person/poster_char_dikaerbanxiongdi.png	sound/man08.mp3
70	史库亚多	2	1	使用武器为刀和巨刀，额头中央有枚蜘蛛印记。	52	186 	117 	63 	145 	132 	160	503	97	91	63	0	1 	members/head_char_shikuyaduo.png	person/poster_char_shikuyaduo.png	chartex/tex_char_shikuyaduo.png	card02	person/poster_char_shikuyaduo.png	sound/man05.mp3
71	鬼蜘蛛	2	1	海军中将，后背上长了8只脚。蜘蛛果实能力者，可以从体内再伸出如同蜘蛛般的六只手。	52	182 	128 	59 	145 	132 	332	516	333	92	656	0	1 	members/head_char_guizhizhu.png	person/poster_char_guizhizhu.png	chartex/tex_char_guizhizhu.png	card02	person/poster_char_guizhizhu.png	sound/man05.mp3
72	佩罗娜	2	1	王下七武海月光·莫利亚的干部之一、恐怖咆哮三怪人之一、动物僵尸与吓人僵尸的指挥官。	33	171 	126 	58 	160 	132 	72	428	269	556	311	0	1 	members/head_char_peiluona.png	person/poster_char_peiluona.png	chartex/tex_char_peiluona.png	card03	person/poster_char_peiluona.png	sound/girl04.mp3
73	斯摩格	2	1	他总是叼着两支茄，看上去很凶恶，是个独行侠，常不听从上司的命令，绰号“烟男”	49	188 	122 	65 	149 	136 	325	245	580	60	661	0	1 	members/head_char_simoge.png	person/poster_char_simoge.png	chartex/tex_char_simoge.png	card01	person/poster_char_simoge.png	sound/man06.mp3
74	古伊娜	2	1	索隆幼时剑术的目标,也是索隆的青梅竹马。	27	188 	142 	62 	131 	136 	402	273	555	557	593	0	1 	members/head_char_guyina.png	person/poster_char_guyina.png	chartex/tex_char_guyina.png	card03	person/poster_char_guyina.png	sound/girl06.mp3
75	鼯鼠	2	1	海军本部中将，拥有坚强的意志，同时也擅长“六式”。	77	191 	130 	62 	143 	132 	654	517	95	543	656	0	1 	members/head_char_wushu.png	person/poster_char_wushu.png	chartex/tex_char_wushu.png	card04	person/poster_char_wushu.png	sound/man05.mp3
76	凯撒	2	1	原海军本部科学部队科学家，因进行各种惨无人道的实验而被驱逐，后与多佛朗明哥合作。	40	186 	129 	60 	145 	132 	211	242	645	473	287	0	1 	members/head_char_kaisa.png	person/poster_char_kaisa.png	chartex/tex_char_kaisa.png	card04	person/poster_char_kaisa.png	sound/man05.mp3
77	卡库	2	1	看起来像个木头人，是卧底在GALLE-LA公司的CP9成员之一。拥有牛牛果实。	77	184 	132 	59 	142 	132 	175	644	363	376	632	0	1 	members/head_char_kaku.png	person/poster_char_kaku.png	chartex/tex_char_kaku.png	card02	person/poster_char_kaku.png	sound/man05.mp3
78	加布拉	2	1	CP9间谍成员，在CP9中排行第三。认为自己的道力绝不比卡库差，非常讨厌路奇。	77	182 	140 	60 	142 	132 	412	569	364	88	219	0	1 	members/head_char_jiabula.png	person/poster_char_jiabula.png	chartex/tex_char_jiabula.png	card02	person/poster_char_jiabula.png	sound/man08.mp3
79	毒Q	2	1	黑胡子海贼团船医，有“死神”之称。总是一副病入膏肓，奄奄一息的样子。	64	211 	123 	60 	140 	132 	111	205	122	305	0	0	1 	members/head_char_duQ.png	person/poster_char_duQ.png	chartex/tex_char_duQ.png	card04	person/poster_char_duQ.png	sound/man02.mp3
80	范奥卡	2	1	黑胡子海贼团狙击手，使用武器为长枪“千陆”远距离射击目标，速射的本领也是一流。	77	175 	125 	63 	136 	132 	280	113	205	123	57	0	1 	members/head_char_fanaoka.png	person/poster_char_fanaoka.png	chartex/tex_char_fanaoka.png	card02	person/poster_char_fanaoka.png	sound/man05.mp3
81	拉菲特	2	1	黑胡子海贼团航海士，手持手杖头戴礼帽，外表像个默剧演员。	33	179 	120 	65 	154 	132 	647	126	205	19	167	0	1 	members/head_char_lafeite.png	person/poster_char_lafeite.png	chartex/tex_char_lafeite.png	card02	person/poster_char_lafeite.png	sound/man05.mp3
82	巴沙斯	2	1	用假面覆盖住真面目，豪爽大笑的硬汉海贼。和黑胡子一起仅凭5人就摧毁了铁通王国。	69	177 	130 	62 	146 	132 	410	362	205	648	78	0	1 	members/head_char_bashasi.png	person/poster_char_bashasi.png	chartex/tex_char_bashasi.png	card02	person/poster_char_bashasi.png	sound/man08.mp3
83	拉克约	2	1	白胡子海贼团七番队队长，中等身材，一头暗金色乱发，八字胡。	69	186 	132 	62 	136 	132 	177	260	7	222	0	0	1 	members/head_char_lakeyue.png	person/poster_char_lakeyue.png	chartex/tex_char_lakeyue.png	card01	person/poster_char_lakeyue.png	sound/man05.mp3
84	达斯琪	2	1	斯摩格的直属部下，是在罗格镇驻军的海军，誓言要收齐所有被恶人夺去的名刀。	27	180 	143 	59 	112 	128 	454	326	408	183	249	0	1 	members/head_char_dasiqi.png	person/poster_char_dasiqi.png	chartex/tex_char_dasiqi.png	card03	person/poster_char_dasiqi.png	sound/girl05.mp3
85	萨吉	2	1	因为他得到黑胡子梦寐以求的恶魔果实－黑暗果实，而被黑胡子杀了。	76	180 	130 	60 	154 	132 	202	399	7	420	190	0	1 	members/head_char_saji.png	person/poster_char_saji.png	chartex/tex_char_saji.png	card04	person/poster_char_saji.png	sound/man05.mp3
86	布拉曼克	2	1	白胡子海贼团的六队队长，体型较矮并且圆胖，能够轻易举起比自身大2倍的槌子。	43	186 	140 	60 	136 	132 	381	497	7	306	676	0	1 	members/head_char_balamanke.png	person/poster_char_balamanke.png	chartex/tex_char_balamanke.png	card02	person/poster_char_balamanke.png	sound/man09.mp3
87	红脚哲普	2	1	海上餐厅巴拉蒂的老板兼任主厨，唯一一个以厨师身份当船长并组建海贼团的，踢技精湛。	28	182 	140 	59 	136 	132 	185	396	119	67	0	0	1 	members/head_char_zhepu.png	person/poster_char_zhepu.png	chartex/tex_char_zhepu.png	card04	person/poster_char_zhepu.png	sound/man07.mp3
88	希娜	2	1	海军本部上校，吃下监牢果实，拥有镣铐能力，能使被身体穿过的所有实质体被捆缚。	47	184 	125 	63 	142 	132 	244	182	518	677	440	0	1 	members/head_char_xina.png	person/poster_char_xina.png	chartex/tex_char_xina.png	card03	person/poster_char_xina.png	sound/girl03.mp3
