章节ID	章节名称	章节剧情	活动入口	对话
12	空之岛	与薇薇公主依依惜别，继续航行。天上在怎么会掉下一艘破破烂烂的大船，真的有空岛存在么？	none	{person/poster_char_pangbai.png::这钟声不会停止，为了有朝一日，再来时不会在海上迷路，即使在暴风雨中也能看见岛屿！}{:person/poster_char_wenbulankulike.png:我赌上性命，这是一场与毁了我一生的男人间的决斗！}{person/poster_char_weipa.png::你挚友的子孙，仍等着黄金钟的钟声，400年的约定，一定要点燃香多拉的灯！上啊，草帽！}{:person/poster_char_lufei.png:钟声，传下去吧！大叔，能听见吧，400年来，黄金乡一直存在于空中！}
13	长环长岛	从空岛中下来，进入一个奇怪的岛屿，整个岛屿像一个戒指，而岛上的生物也都又细又长……	none	{person/poster_char_fukesi.png::怎么还不倒下，为什么又站起来了？！}{:person/poster_char_lufei.png:接招吧，橡胶，连接矛锤！}{person/poster_char_pangbai.png::福克斯飞出去了！大仔920战不败纪录被终结，路飞……胜！}{:person/poster_char_lufei.png:我的伙伴，你死也别想抢走……任何一个人！}
14	水之七都	经过一次次的并肩作战，梅利号终于达到了自己的极限，开始出现严重的问题，听说水之七都有一流的修船匠，去那里请船工帮忙维修一下梅利号吧。	none	{person/poster_char_luobin.png::我的愿望就是，除我之外，草帽六人能平安离开这里，即使因此导致世界毁灭，我也在所不惜！}{:person/poster_char_namei.png:罗宾为了我们免受海军攻击，决定牺牲自己，她明知道被带走一定会没命……}{person/poster_char_lufei.png::那么罗宾果然，一直在……撒谎……}{:person/poster_char_xiangjishi.png:懂得原谅女人的谎言，才是真正的男人！明白了罗宾的意图，即使船长阻止，我也不会罢手！}{person/poster_char_lufei.png::那么，我们就穿越阿库阿拉古纳，去打飞那群混蛋！}
15	海上列车	看着海上列车远去，只能不顾一切的前往司法岛营救自己的伙伴。与此同时，香吉士与乌索普，已经提前一步登上了海上列车……	none	{person/poster_char_luobin.png::你们不用担心，跟草帽他们会合，就想办法回去吧，我自有办法！}{:person/poster_char_xiangjishi.png:你一定还有事情瞒着我们，但没关系，只不过海贼不经过船长许可，是不能脱离海贼团的。所以你要，相信路飞！}{person/poster_char_bulunuo.png::罗宾的家乡，就是在屠魔令下化为灰烬，屠魔令就是她无法磨灭的噩梦。}{:person/poster_char_xiangjishi.png:你们太卑鄙了！混蛋！！}
16	司法岛	这群卑鄙的家伙，完全利用了罗宾的弱点。不管怎样，先冲进司法岛，一定要将罗宾救出来！	none	{person/poster_char_luobin.png::我越想和你们在一起，就越会拖累你们，迟早会觉得我是个负担，然后背叛我，抛弃我，这是我最害怕的。}{:person/poster_char_pangbai.png:你就不应该活在这个世界上，罗宾！你的存在本身就是最大的罪！}{person/poster_char_luobin.png::我不想活了，既然早晚都是死，我不如死在这里！}{:person/poster_char_lufei.png:你疯了吗？！罗宾，我还没亲自听你说出口，你说“我要活下去！”}{person/poster_char_lufei.png::我一直觉得自己没有资格去奢望，没有一个人，曾经让我这么想……}{:person/poster_char_pangbai.png:大海那么广阔，你一定会遇到愿意保护你的伙伴，跟他们一起活下去！}{person/poster_char_luobin.png::我……想活下去，带着我一起，去大海吧！}
17	再见梅利	经历了十几年的孤独流浪与背叛，终于寻找到可以信赖的伙伴时，活下去的希望重新在罗宾心中燃起，现在唯一要做的就是救她出来，上吧！	none	{person/poster_char_meilihao.png::我还想航行……我还想……再航行一次……}{:person/poster_char_wusuopu.png:路飞，跳进海里！他来救我们了，我们不是还有一个同伴吗！}{person/poster_char_meilihao.png::我们一起回去吧，继续……去海上冒险吧！我来接你们了！！}{person/poster_char_meilihao.png::咔嚓（船身断裂）……对不起，我还想带着大家走的更远，跟你们一起冒险……}{:person/poster_char_lufei.png:我让你撞上冰山，索隆和香吉士总搞破坏，还有个技术很烂的修船师，要说对不起的是我们……}{person/poster_char_meilihao.png::我很幸福！！谢谢你们一直对我这么好，请不要为我哭泣，我只想看着你们快乐……}{person/poster_char_luobin.png::我……想活下去，带着我一起，去大海吧！}
18	魔鬼三角	乘着新造出来的万里阳光号，重新踏上冒险的旅程，接下来到达的地方，据说是无数海船神秘失踪的魔鬼海域，不知道会不会遇到妖怪呢？	none	{person/poster_char_folanqi.png::你在孤独的绝望中漂泊几十年，不惜苟延残喘也要实现那个和同伴的约定，到底是什么？}{:person/poster_char_buluke.png:50年前，我们迫不得已将一个同伴留在双子峡，和他约好一定会回来，可是却全军覆没。作为唯一的幸存者，我有义务告诉他这个结果。}{person/poster_char_folanqi.png::这么久过去了，说不定他已经没在等了，或许……}{:person/poster_char_buluke.png:万一他还在恪守约定，该有多寂寞啊，说句我们死了，对不起，就可以了么？}
19	新世界	结束了与莫利亚的战斗，并稀里糊涂的从熊手下逃生之后，首次完整的听到布鲁克讲述自己的故事，为了帮助他实现环绕世界一圈回到双子峡的约定，继续起航吧。	none	{person/poster_char_leili.png::罗杰他得了不治之症，所以才前去自首，临死还想了个法子找乐……}{:person/poster_char_luojie.png:我不会死的，伙计们……想要我的财宝么？你们去找吧！我把世界上的一切都放在那里了！}{person/poster_char_leili.png::最后几秒摇曳不定的生命之火，却燃起全世界的熊熊烈火，公开问斩变成了大海盗时代的开幕典礼！}{:person/poster_char_wusuopu.png:那ONE-PIECE真的存在么？}{person/poster_char_lufei.png::不要问！如果大叔告诉了我们真相，那我宁可不当海盗。我才不要做无聊的冒险呢！}{person/poster_char_lufei.png::我不要支配！在这片海上最自由的人，才是海贼王！}
20	女儿国	被熊拍飞，醒来之后仍然昏沉沉的，而且饥肠辘辘。环视四周，发现伙伴们都不知踪迹了，这到底是哪里呢？	none	{person/poster_char_boyasangdasuoniya.png::我是刚刚和你交战的人，为什么要保护我？}{:person/poster_char_lufei.png:你不愿意给人看的东西，和我们的战斗是两码事。}{person/poster_char_hankuke.png::我们三姐妹过去都曾是世界贵族的奴隶，那样悲惨的毫无希望的过去，一心只想死去……}{person/poster_char_hankuke.png::即使欺骗全国的人，我们也不愿让人抓住一丝的把柄！谁也别想再来支配我们！}
21	推进城	经过处刑台一事，你得到了所有人的认可，汉库克答应帮助你混进推进城，准备向深海大监狱出发吧。	none	{person/poster_char_mr2.png::我做这个最合适，我来打开正义之门。}{:person/poster_char_shenping.png:那你以后，打算怎么办……}{person/poster_char_mr2.png::这问题太俗了吧？直到新号中断……都不要跟草帽提起。人妖无需临别赠言！}
22	海军总部	从深海监狱顺利逃脱出来后，艾斯的生命卡已经越来越小了，处刑马上就要开始了，必须抓紧时间。	none	{person/poster_char_aisi.png::别过来，我跟你各自奔向心目中的大海，我有我的冒险和伙伴，用不着你来介入！}{:person/poster_char_lufei.png:我是弟弟啊！我就是死也要把你救出去！}{person/poster_char_aisi.png::不管怎样的结局我都愿意接受，我会抓住伸向我的援手，也会接受制裁我的利刃，我不会举棋不定了，那样对不起大家！}
23	顶上决战	战斗已经进入了白热化阶段，已经顾不上艾斯的反对，或者众人的阻拦，你心中只有一个声音——救出艾斯。	none	{person/poster_char_baihuzi.png::即使斩断血缘，他们的火焰还是不会熄灭，总会有一个背负百年历史来挑战世界的人，ONE-PIECE是真的存在！}{:person/poster_char_luojie.png:纽盖特，你到底想要的是什么？}{person/poster_char_baihuzi.png::家人……儿子们，我很感谢你们，永别了……}{person/poster_char_pangbai.png::白胡子终于离去了。267刀、152弹痕和46发炮弹轰击，他那充满荣耀的背影和海贼人生，没有任何一个“逃跑时受到的伤痕”}
