id	名称	描述	购买价格	价格类型	操作类型	跳转界面	按钮文本	icon路径	海报路径	原价	所属分页	购买次数	包含道具	是否是宝石	是否在包裹中显示
2001002	二级精钢	精炼武器时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2001003	三级精钢	精炼武器时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2001004	四级精钢	精炼武器时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2001005	五级精钢	精炼武器时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2001006	六级精钢	精炼武器时使用的物品，可提升80点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2001007	七级精钢	精炼武器时使用的物品，可提升160点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2001008	八级精钢	精炼武器时使用的物品，可提升320点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2001009	九级精钢	精炼武器时使用的物品，可提升640点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	1
2002001	一级海王皮	精炼服装时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002002	二级海王皮	精炼服装时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002003	三级海王皮	精炼服装时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002004	四级海王皮	精炼服装时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002005	五级海王皮	精炼服装时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002006	六级海王皮	精炼服装时使用的物品，可提升80点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002007	七级海王皮	精炼服装时使用的物品，可提升160点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002008	八级海王皮	精炼服装时使用的物品，可提升320点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2002009	九级海王皮	精炼服装时使用的物品，可提升640点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	1
2003001	一级星钻	精炼饰品时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003002	二级星钻	精炼饰品时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003003	三级星钻	精炼饰品时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003004	四级星钻	精炼饰品时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003005	五级星钻	精炼饰品时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003006	六级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003007	七级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003008	八级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2003009	九级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	1
2501001	海鲜饭	香吉士做的海鲜饭，会引起众人哄抢，所以尽快食用哦。使用后可增加12点体力	50	2	1	MessageBox.ccb	使用	itemposter/poster_item_haixianfan.png	itemposter/poster_item_haixianfan.png	0	0	0	none	0	1
2502001	激素针	通过荷尔蒙激素，瞬间恢复精力，重新投入战斗。使用后可增加12点精力	50	2	1	MessageBox.ccb	使用	itemposter/poster_item_jisuzhen.png	itemposter/poster_item_jisuzhen.png	0	0	0	none	0	1
2503001	挑战书	作为一名合格的海贼，要堂堂正正的向敌人宣战！使用后可增加3次决斗次数	150	2	1	MessageBox.ccb	使用	itemposter/poster_item_tiaozhanshu.png	itemposter/poster_item_tiaozhanshu.png	0	1	-1	none	0	1
3001001	木宝箱	木质的藏宝箱，打开后可能获得贝里、装备、奥义、钻石道具，需要有木钥匙才能开启	999999	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_mubaoxiang.png	itemposter/poster_item_mubaoxiang.png	0	0	0	none	0	1
3001002	铜宝箱	铜质的藏宝箱，打开后可能获得贝里、装备、奥义、钻石道具，需要有铜钥匙才能开启	999999	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_tongbaoxiang.png	itemposter/poster_item_tongbaoxiang.png	0	0	0	none	0	1
3001003	银宝箱	银质的藏宝箱，打开后可能获得贝里、装备、奥义、钻石道具，需要有银钥匙才能开启	50	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_yinbaoxiang.png	itemposter/poster_item_yinbaoxiang.png	0	1	-1	none	0	1
3001004	金宝箱	金质的藏宝箱，打开后可能获得贝里、装备、奥义、钻石道具，需要有金钥匙才能开启	75	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_jinbaoxiang.png	itemposter/poster_item_jinbaoxiang.png	0	1	-1	none	0	1
3002001	木钥匙	用来打开木宝箱的钥匙	25	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_muyaoshi.png	itemposter/poster_item_muyaoshi.png	0	1	-1	none	0	1
3002002	铜钥匙	用来打开铜宝箱的钥匙	50	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_tongyaoshi.png	itemposter/poster_item_tongyaoshi.png	0	1	-1	none	0	1
3002003	银钥匙	用来打开银宝箱的钥匙	75	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_yinyaoshi.png	itemposter/poster_item_yinyaoshi.png	0	1	-1	none	0	1
3002004	金钥匙	用来打开金宝箱的钥匙	100	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_jinyaoshi.png	itemposter/poster_item_jinyaoshi.png	0	1	-1	none	0	1
3500001	海军标准补给包	海军标准补给包，内含大量潜能药剂等，限购1次，点击图标可预览补给包内容。	1088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	1500	0	0	61001:1502001:500,61001:1503002:1,61001:2501001:5	0	1
3500002	海军大将补给包	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3500003	海贼的战利品	海内含大量潜能药剂等，限购1次，点击图标可预览补给包内容。	1088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	1500	0	0	61001:1502001:500,61001:1503002:1,61001:2501001:5	0	1
3500004	冥王的战利品	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3500005	XXXX补给包	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3500006	XXXX补给包	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3500007	XXXX补给包	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3500008	XXXX补给包	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3500009	XXXX补给包	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3500010	XXXX补给包	海军大将的专用补给包，内含稀有B级防御技能与大量潜能药剂等，限购1次，点击图标可预览补给包内容。	2088	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	3500	0	0	41002:33:1,61001:1502001:1000,61001:1503002:1,61001:2501001:5	0	1
3501001	VIP1尊享礼包	VIP1独享礼包，只能购买一次，点击图标可预览礼包内容。	10	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	48	2	1	11001:1002:10000,61001:3002001:2,61001:3002002:2	0	1
3501002	VIP2尊享礼包	VIP2独享礼包，只能购买一次，点击图标可预览礼包内容。	20	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	248	2	1	11001:1002:50000,61001:3002001:5,61001:3002002:5,41003:69:2	0	1
3501003	VIP3尊享礼包	VIP3独享礼包，只能购买一次，点击图标可预览礼包内容。	50	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	480	2	1	11001:1002:100000,61001:3002001:10,61001:3002002:10,41002:44:1	0	1
3501004	VIP4尊享礼包	VIP4独享礼包，只能购买一次，点击图标可预览礼包内容。	500	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	880	2	1	11001:1002:200000,41001:22:1,61001:3001003:10,61001:3002003:10	0	1
3501005	VIP5尊享礼包	VIP5独享礼包，只能购买一次，点击图标可预览礼包内容。	1000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	1980	2	1	11001:1002:500000,61001:1502001:300,53002:78:1,61001:2503001:5	0	1
3501006	VIP6尊享礼包	VIP6独享礼包，只能购买一次，点击图标可预览礼包内容。	2000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	2980	2	1	11001:1002:800000,61001:1502001:500,52002:49:1,61001:3001003:25,61001:3002003:25	0	1
3501007	VIP7尊享礼包	VIP7独享礼包，只能购买一次，点击图标可预览礼包内容。	3500	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	4990	2	1	11001:1002:1000000,61001:1502001:800,51002:17:1,61001:1503002:5	0	1
3501008	VIP8尊享礼包	VIP8独享礼包，只能购买一次，点击图标可预览礼包内容。	5000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	9990	2	1	11001:1002:2000000,61001:1502001:1000,52002:48:1,61001:3001004:30,61001:3002004:30	0	1
3501009	VIP9尊享礼包	VIP9独享礼包，只能购买一次，点击图标可预览礼包内容。	8000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	16880	2	1	11001:1002:5000000,51001:5:1,53001:77:1,61001:3001004:50,61001:3002004:50	0	1
3501010	VIP10尊享礼包	VIP10独享礼包，只能购买一次，点击图标可预览礼包内容。	10000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	20180	2	1	11001:1002:16000000,53001:70:2,41001:17:2,52002:47:2,61001:1502001:2000	0	1
3501011	VIP11尊享礼包	VIP11独享礼包，只能购买一次，点击图标可预览礼包内容。	12000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	26780	2	1	11001:1002:20000000,53002:76:2,51001:5:2,52001:42:2,61001:1502001:4000	0	1
3501012	VIP12尊享礼包	VIP12独享礼包，只能购买一次，点击图标可预览礼包内容。	15000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	39380	2	1	11001:1002:30000000,53001:69:2,51001:4:2,52001:41:2,61001:1502001:6000	0	1
3501013	VIP13尊享礼包	VIP13独享礼包，只能购买一次，点击图标可预览礼包内容。	20000	2	2	PackPreview.ccb	开启	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	316980	2	1	51001:2:2,52001:39:2,53001:68:2,61001:5001061:2,61001:1502001:6000	0	1
3502001	优惠礼包	里面包含空白海盗旗x1、海鲜饭x1，贝里x100000，只售88钻石。每位船长限购一次，欲购从速！	88	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	500	2	1	61001:1101001:1,61001:2501001:1,11001:1002:100000	0	1
3503001	新手礼包	驶向伟大航路吧！打开后获得VIP1-VIP3尊享礼包，钻石，贝里、奥义、各类药剂。	0	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	0	0	0	11001:1001:3000,11001:1002:68000,53004:89:1,41002:38:1,61001:1503002:1	0	1
3504001	首充礼包	包含百万贝里，精美饰品与较多培养丹	0	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	0	0	0	11001:1002:1000000,53003:81:1,61001:1502001:100	0	1
3505001	邀请礼包	包含奥义与若干贝里，助您渡过新手期	0	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	0	0	0	11001:1002:20000,41003:50:2	0	1
3506001	起航礼包	包含十万贝里，若干钥匙、高级传承药剂、挑战书	0	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	0	0	0	11001:1002:100000,61001:3002004:5,61001:3002003:5,61001:1503002:1,61001:2503001:5	0	1
3507001	女帝的首饰盒	女帝的首饰盒，内含金蛇耳环，若干贝里	0	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	0	0	0	53002:75:1,61001:1502001:150	0	1
3508001	活力值宝箱	达到一定活力值可领取该礼包	99999	2	2	PackPreview.ccb	开启	itemposter/poster_item_GiftBag01.png	itemposter/poster_item_GiftBag01.png	99999	0	0	11001:1002:10000,61001:1502001:10	0	1
3508002	活力值宝箱	达到一定活力值可领取该礼包	99999	2	2	PackPreview.ccb	开启	itemposter/poster_item_GiftBag02.png	itemposter/poster_item_GiftBag02.png	99999	0	0	11001:1002:20000,61001:1502001:20	0	1
3508003	活力值宝箱	达到一定活力值可领取该礼包	99999	2	2	PackPreview.ccb	开启	itemposter/poster_item_GiftBag03.png	itemposter/poster_item_GiftBag03.png	99999	0	0	11001:1002:50000,61001:1502001:30	0	1
3508004	活力值宝箱	达到一定活力值可领取该礼包	99999	2	2	PackPreview.ccb	开启	itemposter/poster_item_GiftBag04.png	itemposter/poster_item_GiftBag04.png	99999	0	0	11001:1002:100000,61001:1502001:50	0	1
3509001	中秋至尊礼包	中秋限定至尊级礼包，点击图标可预览礼包内容	999999	2	2	PackPreview.ccb	开启	itemposter/poster_item_duihuan1.png	itemposter/poster_item_duihuan1.png	0	0	0	31001:17:1,41001:23:1,11001:1002:10000000	0	1
3509002	中秋典藏礼包	中秋限定典藏级礼包，点击图标可预览礼包内容	999999	2	2	PackPreview.ccb	开启	itemposter/poster_item_duihuan2.png	itemposter/poster_item_duihuan2.png	0	0	0	41001:14:1,41002:30:1,11001:1002:1000000	0	1
3509003	中秋精品礼包	中秋限定精品级礼包，点击图标可预览礼包内容	999999	2	2	PackPreview.ccb	开启	itemposter/poster_item_duihuan3.png	itemposter/poster_item_duihuan3.png	0	0	0	41001:6:1,41002:27:1,11001:1002:100000	0	1
3609001	兑换碎片A	高级兑换道具，主要用于兑换活动奖励，活动到期后道具失效并消失	999999	2	0	none	none	itemposter/poster_item_duihuanSP1.png	itemposter/poster_item_duihuanSP1.png	0	0	0	none	0	1
3609002	兑换碎片B	中级兑换道具，主要用于兑换活动奖励，活动到期后道具失效并消失	999999	2	0	none	none	itemposter/poster_item_duihuanSP2.png	itemposter/poster_item_duihuanSP2.png	0	0	0	none	0	1
3609003	兑换碎片C	低级兑换道具，主要用于兑换活动奖励，活动到期后道具失效并消失	999999	2	0	none	none	itemposter/poster_item_duihuanSP3.png	itemposter/poster_item_duihuanSP3.png	0	0	0	none	0	1
4001001	mini抽奖券	当前活动已结束	99999	2	0	none	none	mainScene/ipadmini.png	mainScene/ipadmini.png	0	0	0	none	0	0
4001002	话费抽奖券	当前活动已结束	99999	2	0	none	none	mainScene/10yuan.png	mainScene/10yuan.png	0	0	0	none	0	0
4001003	团队兑换券	当前活动已结束	99999	2	0	none	none	itemposter/poster_item_viplibao.png	itemposter/poster_item_viplibao.png	0	0	0	none	0	0
4002001	武道护卫幸运星	金宝箱有几率出现A级防具“战神头盔”。抽中“战神头盔”或活动到期，道具失效并消失	2000	2	3	none	none	itemposter/poster_item_wdxyx.png	itemposter/poster_item_wdxyx.png	0	0	0	none	0	1
4002002	黄金护卫幸运星	银宝箱有几率出现B级防具“黄金甲”。抽中“黄金甲”或活动到期，道具失效并消失	1800	2	3	none	none	itemposter/poster_item_hjxyx.png	itemposter/poster_item_hjxyx.png	0	0	0	none	0	1
4003001	塔罗牌	塔罗牌	0	2	3	none	none	itemposter/poster_item_wdxyx.png	itemposter/poster_item_wdxyx.png	0	0	0	none	0	1
5001011	1级绿宝石	20级开放宝石镶嵌功能。镶嵌于武器增加10攻击，镶嵌于防具增加2防御，镶嵌于饰品增加7血量。镶嵌武器最佳。	15	2	0	none	升级	stone/au_stone11.png	stone/au_stone11.png	0	0	0	none	1	1
5001021	2级绿宝石	20级开放宝石镶嵌功能。镶嵌于武器增加20攻击，镶嵌于防具增加4防御，镶嵌于饰品增加13血量。镶嵌武器最佳。	75	2	0	none	升级	stone/au_stone21.png	stone/au_stone21.png	0	0	0	none	1	1
5001031	3级绿宝石	20级开放宝石镶嵌功能。镶嵌于武器增加40攻击，镶嵌于防具增加8防御，镶嵌于饰品增加26血量。镶嵌武器最佳。	375	2	0	none	升级	stone/au_stone31.png	stone/au_stone31.png	0	1	-1	none	1	1
5001041	4级绿宝石	20级开放宝石镶嵌功能。镶嵌于武器增加80攻击，镶嵌于防具增加16防御，镶嵌于饰品增加52血量。镶嵌武器最佳。	1875	2	0	none	升级	stone/au_stone41.png	stone/au_stone41.png	0	0	0	none	1	1
5001051	5级绿宝石	20级开放宝石镶嵌功能。镶嵌于武器增加160攻击，镶嵌于防具增加32防御，镶嵌于饰品增加103血量。镶嵌武器最佳。	9375	2	0	none	升级	stone/au_stone51.png	stone/au_stone51.png	0	0	0	none	1	1
5001061	6级绿宝石	20级开放宝石镶嵌功能。镶嵌于武器增加320攻击，镶嵌于防具增加64防御，镶嵌于饰品增加205血量。镶嵌武器最佳。	46875	2	0	none	升级	stone/au_stone61.png	stone/au_stone61.png	0	0	0	none	1	1
5001071	7级绿宝石	20级开放宝石镶嵌功能。镶嵌于武器增加640攻击，镶嵌于防具增加128防御，镶嵌于饰品增加410血量。镶嵌武器最佳。	234375	2	0	none	none	stone/au_stone71.png	stone/au_stone71.png	0	0	0	none	1	1
5001012	1级蓝宝石	20级开放宝石镶嵌功能。镶嵌于武器增加4攻击，镶嵌于防具增加6防御，镶嵌于饰品增加6血量。镶嵌防具最佳。	15	2	0	none	升级	stone/au_stone12.png	stone/au_stone12.png	0	0	0	none	1	1
5001022	2级蓝宝石	20级开放宝石镶嵌功能。镶嵌于武器增加8攻击，镶嵌于防具增加12防御，镶嵌于饰品增加11血量。镶嵌防具最佳。	75	2	0	none	升级	stone/au_stone22.png	stone/au_stone22.png	0	0	0	none	1	1
5001032	3级蓝宝石	20级开放宝石镶嵌功能。镶嵌于武器增加16攻击，镶嵌于防具增加24防御，镶嵌于饰品增加22血量。镶嵌防具最佳。	375	2	0	none	升级	stone/au_stone32.png	stone/au_stone32.png	0	1	-1	none	1	1
5001042	4级蓝宝石	20级开放宝石镶嵌功能。镶嵌于武器增加32攻击，镶嵌于防具增加48防御，镶嵌于饰品增加43血量。镶嵌防具最佳。	1875	2	0	none	升级	stone/au_stone42.png	stone/au_stone42.png	0	0	0	none	1	1
5001052	5级蓝宝石	20级开放宝石镶嵌功能。镶嵌于武器增加64攻击，镶嵌于防具增加96防御，镶嵌于饰品增加86血量。镶嵌防具最佳。	9375	2	0	none	升级	stone/au_stone52.png	stone/au_stone52.png	0	0	0	none	1	1
5001062	6级蓝宝石	20级开放宝石镶嵌功能。镶嵌于武器增加128攻击，镶嵌于防具增加192防御，镶嵌于饰品增加170血量。镶嵌防具最佳。	46875	2	0	none	升级	stone/au_stone62.png	stone/au_stone62.png	0	0	0	none	1	1
5001072	7级蓝宝石	20级开放宝石镶嵌功能。镶嵌于武器增加256攻击，镶嵌于防具增加384防御，镶嵌于饰品增加340血量。镶嵌防具最佳。	234375	2	0	none	none	stone/au_stone72.png	stone/au_stone72.png	0	0	0	none	1	1
5001013	1级红宝石	20级开放宝石镶嵌功能。镶嵌于武器增加3攻击，镶嵌于防具增加3防御，镶嵌于饰品增加16血量。镶嵌饰品最佳。	15	2	0	none	升级	stone/au_stone13.png	stone/au_stone13.png	0	0	0	none	1	1
