ID	名称	品阶	类型	技能说明	初始加成额度	技能成长幅度	Icom图片路径	海报图片路径	名字图片路径	时长	ccb文件	攻击timeline	攻击置换资源	音效
11	海震	1	2	使用震震果实发出足以撼动大海的力量，以震动海面为前提，随后可以引发大海啸吞没目标。此奥义很难施展。	27.92	14.93	skillposter/poster_skill_haizhen.png	skillposter/poster_skill_haizhen.png	skilltex/tex_skill_haizhen.png	6	s_slga	large_group_a	{mSlgaEF01:s_shanxinghymSlgeEF01.png}{mSlgaEF02:s_shanxinghymSlgeEF02.png}{mSlgaEF03:s_shanxinghymSlgeEF03.png}{mSlgaEF04:s_shanxinghymSlgeEF04.png}{mSlgaEF05:s_shanxinghymSlgeEF05.png}{mSlgaEF06:s_shanxinghymSlgeEF06.png}{mSlgaEF07:s_shanxinghymSlgeEF07.png}{mSlgaEF08:s_shanxinghymSlgeEF08.png}{mSlgaEF09:s_shanxinghymSlgeEF09.png}{mSlgaEF10:s_shanxinghymSlgeEF10.png}	haizhen.mp3
12	地震	1	2	使用震震果实的力量发出大地震，能将一个岛屿劈开两半。此奥义很难施展。	27.08	15.75	skillposter/poster_skill_dizhen.png	skillposter/poster_skill_dizhen.png	skilltex/tex_skill_dizhen.png	6	s_slga	large_group_a	{mSlgaEF01:s_shanxinghymSlgeEF01.png}{mSlgaEF02:s_shanxinghymSlgeEF02.png}{mSlgaEF03:s_shanxinghymSlgeEF03.png}{mSlgaEF04:s_shanxinghymSlgeEF04.png}{mSlgaEF05:s_shanxinghymSlgeEF05.png}{mSlgaEF06:s_shanxinghymSlgeEF06.png}{mSlgaEF07:s_shanxinghymSlgeEF07.png}{mSlgaEF08:s_shanxinghymSlgeEF08.png}{mSlgaEF09:s_shanxinghymSlgeEF09.png}{mSlgaEF10:s_shanxinghymSlgeEF10.png}	dizhen.mp3
13	犬噛红莲	1	1	以熔岩化的手臂变成犬型所使出的突击技。此奥义容易施展。	33.43	19.78	skillposter/poster_skill_quanniehonglian.png	skillposter/poster_skill_quanniehonglian.png	skilltex/tex_skill_quanniehonglian.png	6	s_slsa	large_single_c	{mSlsaEF01:s_qchlmSlsaEF01.png}{mSlsaEF02a01:s_qchlmSlsaEF02a01.png}{mSlsaEF02a02:s_qchlmSlsaEF02a02.png}{mSlsaEF03:s_qchlmSlsaEF03.png}{mSlsaEF04:s_qchlmSlsaEF04.png}{mSlsaEF05:s_qchlmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	honglian.mp3
14	冰河时代	1	2	放出冻气将一切急速冷冻，把大地化为一片冻土。此奥义较易施展。	13.88	7.56	skillposter/poster_skill_bingheshidai.png	skillposter/poster_skill_bingheshidai.png	skilltex/tex_skill_bingheshidai.png	6	s_slgbhsd	large_group_pa	0	binghe.mp3
15	天丛云剑	1	1	将光子在手中凝聚成的剑状中高速运动，用来攻击敌人。此奥义容易施展。	30.47	17.85	skillposter/poster_skill_tiancongyunjian.png	skillposter/poster_skill_tiancongyunjian.png	skilltex/tex_skill_tiancongyunjian.png	6	s_slsa	large_single_b	{mSlsaEF01:s_tcyjmSlsaEF01.png}{mSlsaEF02a01:s_tcyjmSlsaEF02a01.png}{mSlsaEF02a02:s_tcyjmSlsaEF02a02.png}{mSlsaEF03:s_tcyjmSlsaEF03.png}{mSlsaEF04:s_tcyjmSlsaEF04.png}{mSlsaEF05:s_tcyjmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	tiancongyunjian.mp3
16	黑暗地道	1	2	把地上接触到一定范围内的所有物体吸入漩涡中，并利用无限引力在黑暗中将其压成粉末。此奥义极易施展。	8.88	4.88	skillposter/poster_skill_heandidao.png	skillposter/poster_skill_heandidao.png	skilltex/tex_skill_heandidao.png	6	s_slga	large_group_a	{mSlgaEF01:s_shanxinghymSlgeEF01.png}{mSlgaEF02:s_shanxinghymSlgeEF02.png}{mSlgaEF03:s_shanxinghymSlgeEF03.png}{mSlgaEF04:s_shanxinghymSlgeEF04.png}{mSlgaEF05:s_shanxinghymSlgeEF05.png}{mSlgaEF06:s_shanxinghymSlgeEF06.png}{mSlgaEF07:s_shanxinghymSlgeEF07.png}{mSlgaEF08:s_shanxinghymSlgeEF08.png}{mSlgaEF09:s_shanxinghymSlgeEF09.png}{mSlgaEF10:s_shanxinghymSlgeEF10.png}	heiandidao.mp3
17	陨石流星雨	1	2	利用1000发炮弹以两手连续投出，造成大面积的杀伤，其破坏力比大炮还要恐怖。此奥义极易施展。	8.62	4.68	skillposter/poster_skill_yunshiliuxingyu.png	skillposter/poster_skill_yunshiliuxingyu.png	skilltex/tex_skill_yunshiliuxingyu.png	6	s_slga	large_group_e	{mSlgaEF01:s_YslxymSlgeEF01.png}{mSlgaEF02:s_YslxymSlgeEF02.png}{mSlgaEF03:s_YslxymSlgeEF03.png}{mSlgaEF04:s_YslxymSlgeEF04.png}{mSlgaEF05:s_YslxymSlgeEF05.png}{mSlgaEF06:s_YslxymSlgeEF06.png}{mSlgaEF07:s_YslxymSlgeEF07.png}{mSlgaEF08:s_YslxymSlgeEF08.png}{mSlgaEF09:s_YslxymSlgeEF09.png}{mSlgaEF10:s_YslxymSlgeEF10.png}	yunshi.mp3
18	复活青炎	1	5	身体周围包裹着带有治愈效果的青炎，使伤口迅速再生，从而让对方的攻击无效。可以提升修习者的防御。	0.084	0.032	skillposter/poster_skill_fuhuoqingyan.png	skillposter/poster_skill_fuhuoqingyan.png	skilltex/tex_skill_fuhuoqingyan.png	1	s_buff	buffb	0	fangbuff.mp3
19	金刚不坏	1	5	瞬间加强自身的硬度，是铁块技能的强化版。可以提升修习者的防御。	0.08	0.03	skillposter/poster_skill_jingangbuhuai.png	skillposter/poster_skill_jingangbuhuai.png	skilltex/tex_skill_jingangbuhuai.png	1	s_buff	buffb	0	fangbuff.mp3
20	炎戒火柱	1	1	将火炎释放出体外并形成一个炎之圈圈，再经由双手火炎的旋转，可从全身放出冲天的火柱攻击目标。此奥义容易施展。	29.29	17.33	skillposter/poster_skill_yanjiehuozhu.png	skillposter/poster_skill_yanjiehuozhu.png	skilltex/tex_skill_yanjiehuozhu.png	6	s_slsb	large_single_f	{mSlsaEF01:s_yjhzmSlsaEF01.png}{mSlsaEF02a01:s_yjhzmSlsaEF02a01.png}{mSlsaEF02a02:s_yjhzmSlsaEF02a02.png}{mSlsaEF03:s_yjhzmSlsaEF03.png}{mSlsaEF04:s_yjhzmSlsaEF04.png}{mSlsaEF05:s_yjhzmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	yanjiehuozhu.mp3
21	万雷	1	2	利用方舟箴言制造的雷云中落下无数的雷电，瞬间轰击大量目标。此奥义较易施展。	15	8.12	skillposter/poster_skill_wanlei.png	skillposter/poster_skill_wanlei.png	skilltex/tex_skill_wanlei.png	6	s_slga	large_group_b	{mSlgaEF01:s_wanleimSlgeEF01.png}{mSlgaEF02:B_leiA06.png}{mSlgaEF03:B_leiA10.png}{mSlgaEF04:B_leiA06.png}{mSlgaEF05:B_leiA10.png}{mSlgaEF06:B_leiA06.png}{mSlgaEF07:B_leiA10.png}{mSlgaEF08:s_wanleimSlgeEF08.png}{mSlgaEF09:s_wanleimSlgeEF09.png}{mSlgaEF10:s_wanleimSlgeEF10.png}	wanlei.mp3
22	三日月沙丘	1	1	把砂形成三日月型砂冲向敌人，可以攻击和吸走敌人体内的水份。此奥义容易施展。	28.99	17.85	skillposter/poster_skill_sanriyueshaqiu.png	skillposter/poster_skill_sanriyueshaqiu.png	skilltex/tex_skill_sanriyueshaqiu.png	6	s_slsa	large_single_b	{mSlsaEF01:s_srysqmSlsaEF01.png}{mSlsaEF02a01:s_srysqmSlsaEF02a01.png}{mSlsaEF02a02:s_srysqmSlsaEF02a02.png}{mSlsaEF03:s_srysqmSlsaEF03.png}{mSlsaEF04:s_srysqmSlsaEF04.png}{mSlsaEF05:s_srysqmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	sanriyue.mp3
23	影法师	1	4	莫利亚的影分身，不怕任何伤害，如同魍魉一般存在于莫利亚的周围，帮助他攻击。可以提升修习者的攻击。	0.07	0.027	skillposter/poster_skill_yingfashi.png	skillposter/poster_skill_yingfashi.png	skilltex/tex_skill_yingfashi.png	1	s_buff	buffa	0	gongbuff.mp3
24	降魔之相	1	4	变身成巨大稻草人，手持五吋钉攻击对手，使原本的攻击更具杀伤力。可以提升修习者的攻击。	0.075	0.029	skillposter/poster_skill_xiangmozhixiang.png	skillposter/poster_skill_xiangmozhixiang.png	skilltex/tex_skill_xiangmozhixiang.png	1	s_buff	buffa	0	gongbuff.mp3
25	暴雨	2	2	通过冷热空气的碰撞，制造出大片的雨云，形成骤降的暴雨。此奥义较难施展。	7.93	4.23	skillposter/poster_skill_baoyu.png	skillposter/poster_skill_baoyu.png	skilltex/tex_skill_baoyu.png	6	s_slga	large_group_a	{mSlgaEF01:s_baoyuSlgaEF01.png}{mSlgaEF02:s_baoyuSlgaEF02.png}{mSlgaEF03:s_baoyuSlgaEF03.png}{mSlgaEF04:s_baoyuSlgaEF04.png}{mSlgaEF05:s_baoyuSlgaEF05.png}{mSlgaEF06:s_baoyuSlgaEF06.png}{mSlgaEF07:s_baoyuSlgaEF07.png}{mSlgaEF08:s_baoyuSlgaEF08.png}{mSlgaEF09:s_baoyuSlgaEF09.png}{mSlgaEF10:s_baoyuSlgaEF10.png}	baoyu.mp3
26	JET枪	2	1	橡皮人在二档状态下发动的强化版橡皮枪，因为无需再做准备，攻速更快。此奥义容易施展。	21	11.59	skillposter/poster_skill_jetqiang.png	skillposter/poster_skill_jetqiang.png	skilltex/tex_skill_jetqiang.png	6	s_slsa	large_single_e	{mSlsaEF01:s_jetqmSlsaEF01.png}{mSlsaEF02a01:s_jetqmSlsaEF02a01.png}{mSlsaEF02a02:s_jetqmSlsaEF02a02.png}{mSlsaEF03:s_jetqmSlsaEF03.png}{mSlsaEF04:s_jetqmSlsaEF04.png}{mSlsaEF05:s_jetqmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	jet.mp3
27	虎狩猎	2	1	从将两把刀有如背负在背后的架势，所使出的“斩击系”绝招，会在对手身上留下如老虎条纹般的伤痕，因此得名。此奥义较难施展。	28.06	17.13	skillposter/poster_skill_hushoulie.png	skillposter/poster_skill_hushoulie.png	skilltex/tex_skill_hushoulie.png	6	s_slsa	large_single_a	{mSlsaEF01:s_hslmSlsaEF01.png}{mSlsaEF02a01:s_hslmSlsaEF02a01.png}{mSlsaEF02a02:s_hslmSlsaEF02a02.png}{mSlsaEF03:s_hslmSlsaEF03.png}{mSlsaEF04:s_hslmSlsaEF04.png}{mSlsaEF05:s_hslmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	hushou.mp3
28	羊肉套餐	2	1	按顺序到对方的身体放入了踢后，强有力后面踢，一瞬内踢一个劲地所有部位，力度足以爆碎岩石。此奥义容易施展。	18.19	11.16	skillposter/poster_skill_yangroutaocan.png	skillposter/poster_skill_yangroutaocan.png	skilltex/tex_skill_yangroutaocan.png	6	s_slsa	large_single_e	{mSlsaEF01:s_yrtcmSlsaEF01.png}{mSlsaEF02a01:s_yrtcmSlsaEF02a01.png}{mSlsaEF02a02:s_yrtcmSlsaEF02a02.png}{mSlsaEF03:s_yrtcmSlsaEF03.png}{mSlsaEF04:s_yrtcmSlsaEF04.png}{mSlsaEF05:s_yrtcmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	yangrou.mp3
29	三连火药星	2	1	火药星的强化版，以极快的速度将多枚火药星连续发射，对同一部位造成伤害。此奥义容易施展。	18.19	10.51	skillposter/poster_skill_sanlianhuoyaoxing.png	skillposter/poster_skill_sanlianhuoyaoxing.png	skilltex/tex_skill_sanlianhuoyaoxing.png	6	s_slsa	large_single_c	{mSlsaEF01:s_slhyxmSlsaEF01.png}{mSlsaEF02a01:s_slhyxmSlsaEF02a01.png}{mSlsaEF02a02:s_slhyxmSlsaEF02a02.png}{mSlsaEF03:s_slhyxmSlsaEF03.png}{mSlsaEF04:s_slhyxmSlsaEF04.png}{mSlsaEF05:s_slhyxmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	sanlianhuoyaoxing.mp3
30	身体强化	2	4	通过刺激神经系统与肌肉，暂时将身体的某一部分进行强化。可以提升修习者的攻击。	0.051	0.017	skillposter/poster_skill_shentiqianghua.png	skillposter/poster_skill_shentiqianghua.png	skilltex/tex_skill_shentiqianghua.png	1	s_buff	buffa	0	gongbuff.mp3
31	刻蹄	2	1	以铁蹄重击对手，刻蹄会留下樱花状的蹄印。此奥义较易施展。	22.05	13.13	skillposter/poster_skill_keti.png	skillposter/poster_skill_keti.png	skilltex/tex_skill_keti.png	6	s_slsa	large_single_c	{mSlsaEF01:s_ktmSlsaEF01.png}{mSlsaEF02a01:s_ktmSlsaEF02a01.png}{mSlsaEF02a02:s_ktmSlsaEF02a02.png}{mSlsaEF03:s_ktmSlsaEF03.png}{mSlsaEF04:s_ktmSlsaEF04.png}{mSlsaEF05:s_ktmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	keti.mp3
32	双樱花树	2	1	高速奔跑，利用冲势，以复杂枝状鹿角把敌人撞飞。此奥义较难施展。	32.29	19.42	skillposter/poster_skill_shuangyinhuashu.png	skillposter/poster_skill_shuangyinhuashu.png	skilltex/tex_skill_shuangyinhuashu.png	6	s_slsb	large_single_g	{mSlsaEF01:s_syhsmSlsaEF01.png}{mSlsaEF02a01:s_syhsmSlsaEF02a01.png}{mSlsaEF02a02:s_syhsmSlsaEF02a02.png}{mSlsaEF03:s_syhsmSlsaEF03.png}{mSlsaEF04:s_syhsmSlsaEF04.png}{mSlsaEF05:s_syhsmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	shongying.mp3
33	海神护卫	2	5	防御力大幅提高，宛若有海神守护。	0.061	0.02	skillposter/poster_skill_haishenhuwei.png	skillposter/poster_skill_haishenhuwei.png	skilltex/tex_skill_haishenhuwei.png	1	s_buff	buffb	0	fangbuff.mp3
34	闪星火焰	2	2	从嘴里射出火焰，烧毁眼前一切事物。此奥义容易施展。	5.83	3.33	skillposter/poster_skill_shanxinghuoyan.png	skillposter/poster_skill_shanxinghuoyan.png	skilltex/tex_skill_shanxinghuoyan.png	6	s_slga	large_group_e	{mSlgaEF01:s_shanxinghymSlgeEF01.png}{mSlgaEF02:s_shanxinghymSlgeEF02.png}{mSlgaEF03:s_shanxinghymSlgeEF03.png}{mSlgaEF04:s_shanxinghymSlgeEF04.png}{mSlgaEF05:s_shanxinghymSlgeEF05.png}{mSlgaEF06:s_shanxinghymSlgeEF06.png}{mSlgaEF07:s_shanxinghymSlgeEF07.png}{mSlgaEF08:s_shanxinghymSlgeEF08.png}{mSlgaEF09:s_shanxinghymSlgeEF09.png}{mSlgaEF10:s_shanxinghymSlgeEF10.png}	shanxinghuoyan.mp3
35	百花缭乱	2	1	长出无数手臂，结合不同招数可以有多种用途。此奥义容易施展。	18.75	10.73	skillposter/poster_skill_baihualiaoluan.png	skillposter/poster_skill_baihualiaoluan.png	skilltex/tex_skill_baihualiaoluan.png	6	s_slgbhll	large_single_pb	0	baihua.mp3
36	夜明曲	2	6	小夜曲，宁静的曲调除去内心的烦躁，平复情绪。可以提升修习者的意志。	0.068	0.021	skillposter/poster_skill_yemingqu.png	skillposter/poster_skill_yemingqu.png	skilltex/tex_skill_yemingqu.png	1	s_buff	buffc	0	yibuff.mp3
37	大喷火	2	1	以熔岩组成巨大的熔岩拳攻击，威力足以把大型冰山瞬间粉碎蒸发殆尽。此奥义较难施展。	28.32	17.44	skillposter/poster_skill_dapenhuo.png	skillposter/poster_skill_dapenhuo.png	skilltex/tex_skill_dapenhuo.png	6	s_slsa	large_single_c	{mSlsaEF01:s_slhyxmSlsaEF01.png}{mSlsaEF02a01:s_slhyxmSlsaEF02a01.png}{mSlsaEF02a02:s_slhyxmSlsaEF02a02.png}{mSlsaEF03:s_slhyxmSlsaEF03.png}{mSlsaEF04:s_slhyxmSlsaEF04.png}{mSlsaEF05:s_slhyxmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	dapanhuo.mp3
38	冰块两极矛	2	1	从身上射出无数矛状的冰块。此奥义较易施展。	22.28	13.39	skillposter/poster_skill_bingkuaishuangjimao.png	skillposter/poster_skill_bingkuaishuangjimao.png	skilltex/tex_skill_bingkuaishuangjimao.png	6	s_slsa	large_single_c	{mSlsaEF01:s_bkljmmSlsaEF01.png}{mSlsaEF02a01:s_bkljmmSlsaEF02a01.png}{mSlsaEF02a02:s_bkljmmSlsaEF02a02.png}{mSlsaEF03:s_bkljmmSlsaEF03.png}{mSlsaEF04:s_bkljmmSlsaEF04.png}{mSlsaEF05:s_bkljmmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	bingkuai.mp3
39	八咫镜	2	1	在固定物上造出反射镜，掌中凝聚光向目标造出光道，在一瞬间达到目标所在处，施展突袭。此奥义容易施展。	17.63	10.51	skillposter/poster_skill_bazhijing.png	skillposter/poster_skill_bazhijing.png	skilltex/tex_skill_bazhijing.png	6	s_slsa	large_single_c	{mSlsaEF01:s_slhyxmSlsaEF01.png}{mSlsaEF02a01:s_slhyxmSlsaEF02a01.png}{mSlsaEF02a02:s_slhyxmSlsaEF02a02.png}{mSlsaEF03:s_slhyxmSlsaEF03.png}{mSlsaEF04:s_slhyxmSlsaEF04.png}{mSlsaEF05:s_slhyxmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	balingjing.mp3
40	压力炮	2	1	以高速击发的大气，发出强大的冲击波能够轻易地瞬间贯穿人体。此奥义容易施展。	17.63	10.4	skillposter/poster_skill_yalipao.png	skillposter/poster_skill_yalipao.png	skilltex/tex_skill_yalipao.png	6	s_slsa	large_single_e	{mSlsaEF01:s_ylpmSlsaEF01.png}{mSlsaEF02a01:s_ylpmSlsaEF02a01.png}{mSlsaEF02a02:s_ylpmSlsaEF02a02.png}{mSlsaEF03:s_ylpmSlsaEF03.png}{mSlsaEF04:s_ylpmSlsaEF04.png}{mSlsaEF05:s_ylpmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	yalipao.mp3
41	十字火	2	1	以二根食指交叉来瞄准对方，并发射立体的十字篝火烧伤目标。此奥义容易施展。	19.13	10.94	skillposter/poster_skill_shizihuo.png	skillposter/poster_skill_shizihuo.png	skilltex/tex_skill_shizihuo.png	6	s_slsa	large_single_b	{mSlsaEF01:s_szhmSlsaEF01.png}{mSlsaEF02a01:s_szhmSlsaEF02a01.png}{mSlsaEF02a02:s_szhmSlsaEF02a02.png}{mSlsaEF03:s_szhmSlsaEF03.png}{mSlsaEF04:s_szhmSlsaEF04.png}{mSlsaEF05:s_szhmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	shizihuo.mp3
42	毒云	2	2	从身体释放大量毒气，一但碰触到身体五感将渐渐消失。此奥义较易施展。	6.79	4.04	skillposter/poster_skill_duyun.png	skillposter/poster_skill_duyun.png	skilltex/tex_skill_duyun.png	6	s_slga	large_group_a	{mSlgaEF01:s_baoyuSlgaEF01.png}{mSlgaEF02:s_baoyuSlgaEF02.png}{mSlgaEF03:s_baoyuSlgaEF03.png}{mSlgaEF04:s_baoyuSlgaEF04.png}{mSlgaEF05:s_baoyuSlgaEF05.png}{mSlgaEF06:s_baoyuSlgaEF06.png}{mSlgaEF07:s_baoyuSlgaEF07.png}{mSlgaEF08:s_baoyuSlgaEF08.png}{mSlgaEF09:s_baoyuSlgaEF09.png}{mSlgaEF10:s_baoyuSlgaEF10.png}	duyun.mp3
43	瓦正拳	2	1	利用浑身的力量使出的强力正拳。此奥义较易施展。	21.83	13	skillposter/poster_skill_wazhengquan.png	skillposter/poster_skill_wazhengquan.png	skilltex/tex_skill_wazhengquan.png	6	s_slsa	large_single_e	{mSlsaEF01:s_wzqmSlsaEF01.png}{mSlsaEF02a01:s_wzqmSlsaEF02a01.png}{mSlsaEF02a02:s_wzqmSlsaEF02a02.png}{mSlsaEF03:s_wzqmSlsaEF03.png}{mSlsaEF04:s_wzqmSlsaEF04.png}{mSlsaEF05:s_wzqmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	wazhengquan.mp3
44	奴隶之箭	2	1	手指轻碰嘴唇，变化出一个大爱心，然后射出大量粉红色的箭头，被射中的目标会石化。此奥义较易施展。	22.95	13.26	skillposter/poster_skill_nvlizhijian.png	skillposter/poster_skill_nvlizhijian.png	skilltex/tex_skill_nvlizhijian.png	6	s_slsa	large_single_c	{mSlsaEF01:s_nlzjmSlsaEF01.png}{mSlsaEF02a01:s_nlzjmSlsaEF02a01.png}{mSlsaEF02a02:s_nlzjmSlsaEF02a02.png}{mSlsaEF03:s_nlzjmSlsaEF03.png}{mSlsaEF04:s_nlzjmSlsaEF04.png}{mSlsaEF05:s_nlzjmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	nulizhijian.mp3
